"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",28286,0.01,15156,4114.38,0.535812769567984,0.271468725257324
"2",28286,0.02,15073,4154.69,0.532878455773174,0.275637895574869
"3",28286,0.03,14908,4191.2,0.527045181361804,0.28113764421787
"4",28286,0.04,14788,4232.23,0.522802799971717,0.286193535298891
"5",28286,0.05,14561,4266.52,0.514777628508803,0.293010095460477
"6",28286,0.06,14479,4306.72,0.511878667892244,0.297445956212446
"7",28286,0.07,14452,4350.97,0.510924132079474,0.301063520619983
"8",28286,0.08,14399,4396.47,0.509050413632186,0.305331620251406
"9",28286,0.09,14271,4434.4,0.504525206816093,0.310728049891388
"10",28286,0.1,14221,4479.14,0.502757547903557,0.314966598692075
"11",28286,0.11,14198,4527.82,0.50194442480379,0.31890547964502
"12",28286,0.12,14126,4579.61,0.499398995969738,0.324197224975223
"13",28286,0.13,13151,4508.66,0.464929647175281,0.342837807010874
"14",28286,0.14,12729,4511.13,0.450010605953475,0.354397831722838
"15",28286,0.15,11467,4371.11,0.405394895001061,0.381190372372896
"16",28286,0.16,11406,4412.59,0.403238351127766,0.386865684727337
"17",28286,0.17,10785,4352.61,0.381284027434066,0.403579972183588
"18",28286,0.18,10688,4380.52,0.377854769143746,0.409854041916168
"19",28286,0.19,10504,4389.55,0.371349784345613,0.417893183549124
"20",28286,0.2,10469,4428.27,0.370112423106837,0.422988824147483
"21",28286,0.21,10359,4450.24,0.366223573499258,0.429601312868037
"22",28286,0.22,10303,4482.91,0.364243795517217,0.435107250315442
"23",28286,0.23,10281,4522.93,0.363466025595701,0.439930940569983
"24",28286,0.24,10213,4553.35,0.361062009474652,0.445838637031235
"25",28286,0.25,10120,4576.43,0.357774163897334,0.452216403162055
"26",28286,0.26,10057,4609.36,0.355546913667539,0.458323555732326
"27",28286,0.27,9875,4609.83,0.349112635225907,0.466818227848101
"28",28286,0.28,9635,4591.21,0.340627872445733,0.47651375194603
"29",28286,0.29,9505,4601.1,0.336031959273139,0.484071541294056
"30",28286,0.3,9469,4637.96,0.334759244856113,0.489804625620446
"31",28286,0.31,9429,4673.33,0.333345117726084,0.495633683317425
"32",28286,0.32,9387,4711.06,0.331860284239553,0.501870672206243
"33",28286,0.33,9121,4671.91,0.32245633882486,0.51221466944414
"34",28286,0.34,9107,4716.33,0.32196139432935,0.517879653014165
"35",28286,0.35,8960,4713.63,0.316764477126494,0.526074776785714
"36",28286,0.36,8822,4714.84,0.311885738527894,0.534441169802766
"37",28286,0.37,8325,4577.06,0.294315208937283,0.549796996996997
"38",28286,0.38,8301,4614.25,0.293466732659266,0.555866763040598
"39",28286,0.39,8264,4645.97,0.292158665063989,0.56219385285576
"40",28286,0.4,8221,4676.2,0.290638478399208,0.568811580099745
"41",28286,0.41,8017,4638.22,0.28342643003606,0.578548085318698
"42",28286,0.42,8002,4677.72,0.282896132362299,0.584568857785554
"43",28286,0.43,7952,4708.56,0.281128473449763,0.592122736418511
"44",28286,0.44,7542,4578.03,0.266633670366966,0.60700477326969
"45",28286,0.45,7276,4505.96,0.257229724952273,0.619290819131391
"46",28286,0.46,7195,4515.81,0.254366117513964,0.627631688672689
"47",28286,0.47,7147,4540.39,0.25266916495793,0.635286134042255
"48",28286,0.48,7077,4555.05,0.250194442480379,0.643641373463332
"49",28286,0.49,6798,4464.06,0.240330905748427,0.656672550750221
"50",28286,0.5,6699,4459.39,0.236830941101605,0.665679952231676
"51",28286,0.51,6682,4495.91,0.236229937071343,0.672838970368153
"52",28286,0.52,6564,4479.63,0.232058262037757,0.682454296160877
"53",28286,0.53,6406,4439.59,0.226472459874143,0.693036216047456
"54",28286,0.54,6373,4465.69,0.225305804991869,0.70072022595324
"55",28286,0.55,6319,4479.83,0.22339673336633,0.708946035765153
"56",28286,0.56,6203,4458.45,0.219295764689246,0.718757053038852
"57",28286,0.57,6012,4391.44,0.212543307643357,0.730445775116434
"58",28286,0.58,5998,4425.39,0.212048363147847,0.737810936978993
"59",28286,0.59,5926,4424.69,0.209502934313795,0.746657104286196
"60",28286,0.6,5805,4393.35,0.205225199745457,0.756821705426357
"61",28286,0.61,5693,4365.25,0.201265643781376,0.766774986825927
"62",28286,0.62,5670,4391.26,0.200452520681609,0.77447266313933
"63",28286,0.63,5628,4404.98,0.198967687195079,0.782690120824449
"64",28286,0.64,5549,4394.43,0.196174786113272,0.791931879617949
"65",28286,0.65,5462,4377.33,0.193099059605459,0.801415232515562
"66",28286,0.66,5362,4350.55,0.189563741780386,0.811367027228646
"67",28286,0.67,5197,4277.74,0.183730467369016,0.823117182990187
