"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,299,19.2,"simulated",1950,0.153333333333333,0.0642140468227425
"2",0.02,269,20.72,"simulated",1950,0.137948717948718,0.0770260223048327
"3",0.03,262,22.63,"simulated",1950,0.134358974358974,0.0863740458015267
"4",0.04,238,23.58,"simulated",1950,0.122051282051282,0.0990756302521008
"5",0.05,219,24.36,"simulated",1950,0.112307692307692,0.111232876712329
"6",0.06,215,25.84,"simulated",1950,0.11025641025641,0.120186046511628
"7",0.07,206,26.86,"simulated",1950,0.105641025641026,0.130388349514563
"8",0.08,199,27.91,"simulated",1950,0.102051282051282,0.140251256281407
"9",0.09,195,29.16,"simulated",1950,0.1,0.149538461538462
"10",0.1,187,29.92,"simulated",1950,0.0958974358974359,0.16
"11",0.11,181,30.78,"simulated",1950,0.0928205128205128,0.170055248618785
"12",0.12,179,32.08,"simulated",1950,0.0917948717948718,0.179217877094972
"13",0.13,156,30.4,"simulated",1950,0.08,0.194871794871795
"14",0.14,154,31.43,"simulated",1950,0.078974358974359,0.204090909090909
"15",0.15,152,32.46,"simulated",1950,0.077948717948718,0.213552631578947
"16",0.16,145,32.61,"simulated",1950,0.0743589743589744,0.224896551724138
"17",0.18,134,33.08,"simulated",1950,0.0687179487179487,0.246865671641791
"18",0.19,134,34.28,"simulated",1950,0.0687179487179487,0.255820895522388
"19",0.2,132,35.07,"simulated",1950,0.0676923076923077,0.265681818181818
"20",0.22,129,36.77,"simulated",1950,0.0661538461538462,0.285038759689922
"21",0.23,129,37.94,"simulated",1950,0.0661538461538462,0.294108527131783
"22",0.24,124,37.88,"simulated",1950,0.0635897435897436,0.305483870967742
"23",0.25,115,36.68,"simulated",1950,0.058974358974359,0.31895652173913
"24",0.26,113,37.19,"simulated",1950,0.0579487179487179,0.329115044247788
"25",0.31,112,42.03,"simulated",1950,0.0574358974358974,0.375267857142857
"26",0.32,106,41.08,"simulated",1950,0.0543589743589744,0.387547169811321
"27",0.33,102,40.69,"simulated",1950,0.0523076923076923,0.398921568627451
"28",0.34,100,40.92,"simulated",1950,0.0512820512820513,0.4092
"29",0.36,99,42.37,"simulated",1950,0.0507692307692308,0.427979797979798
"30",0.37,93,40.99,"simulated",1950,0.0476923076923077,0.440752688172043
"31",0.4,92,43.11,"simulated",1950,0.0471794871794872,0.468586956521739
"32",0.41,90,43.11,"simulated",1950,0.0461538461538462,0.479
"33",0.42,89,43.5,"simulated",1950,0.0456410256410256,0.48876404494382
"34",0.44,87,44.22,"simulated",1950,0.0446153846153846,0.508275862068966
"35",0.47,85,45.63,"simulated",1950,0.0435897435897436,0.536823529411765
"36",0.48,83,45.43,"simulated",1950,0.0425641025641026,0.547349397590361
"37",0.52,82,47.94,"simulated",1950,0.0420512820512821,0.584634146341463
"38",0.53,79,47.07,"simulated",1950,0.0405128205128205,0.595822784810127
"39",0.56,78,48.66,"simulated",1950,0.04,0.623846153846154
"40",0.57,77,48.79,"simulated",1950,0.0394871794871795,0.633636363636364
"41",0.63,76,52.35,"simulated",1950,0.038974358974359,0.688815789473684
"42",0.64,69,48.49,"simulated",1950,0.0353846153846154,0.702753623188406
"43",0.68,67,49.59,"simulated",1950,0.0343589743589744,0.740149253731343
"44",0.72,66,51.26,"simulated",1950,0.0338461538461538,0.776666666666667
"45",0.73,65,51.13,"simulated",1950,0.0333333333333333,0.786615384615384
"46",0.8,65,55.35,"simulated",1950,0.0333333333333333,0.851538461538462
"47",0.82,58,50.78,"simulated",1950,0.0297435897435897,0.87551724137931
"48",0.86,56,51.24,"simulated",1950,0.0287179487179487,0.915
"49",0.88,55,51.41,"simulated",1950,0.0282051282051282,0.934727272727273
"50",0.9,51,48.81,"simulated",1950,0.0261538461538462,0.957058823529412
"51",0.94,50,49.78,"simulated",1950,0.0256410256410256,0.9956
"52",0.97,47,48.26,"simulated",1950,0.0241025641025641,1.0268085106383
"53",0.98,47,48.71,"simulated",1950,0.0241025641025641,1.0363829787234
"54",1.08,45,51.03,"simulated",1950,0.0230769230769231,1.134
"55",1.15,44,52.88,"simulated",1950,0.0225641025641026,1.20181818181818
"56",1.18,43,52.95,"simulated",1950,0.022051282051282,1.23139534883721
"57",1.26,42,54.96,"simulated",1950,0.0215384615384615,1.30857142857143
"58",1.28,40,53.18,"simulated",1950,0.0205128205128205,1.3295
"59",1.32,38,52.04,"simulated",1950,0.0194871794871795,1.36947368421053
"60",1.59,17,28.16,"simulated",1950,0.00871794871794872,1.65647058823529
"61",1.64,16,27.26,"simulated",1950,0.00820512820512821,1.70375
"62",1.76,15,27.18,"simulated",1950,0.00769230769230769,1.812
"63",2.04,15,31.1,"simulated",1950,0.00769230769230769,2.07333333333333
"64",2.25,14,31.78,"simulated",1950,0.00717948717948718,2.27
"65",2.4,13,31.33,"simulated",1950,0.00666666666666667,2.41
"66",2.64,12,31.8,"simulated",1950,0.00615384615384615,2.65
"67",3.08,11,33.99,"simulated",1950,0.00564102564102564,3.09
"68",3.1,10,31.1,"simulated",1950,0.00512820512820513,3.11
"69",3.32,8,26.64,"simulated",1950,0.0041025641025641,3.33
"70",3.64,7,25.55,"simulated",1950,0.00358974358974359,3.65
"71",3.81,6,22.92,"simulated",1950,0.00307692307692308,3.82
"72",3.93,5,19.7,"simulated",1950,0.00256410256410256,3.94
"73",5.2,4,20.84,"simulated",1950,0.00205128205128205,5.21
"74",5.72,3,17.19,"simulated",1950,0.00153846153846154,5.73
"75",6.91,2,13.84,"simulated",1950,0.00102564102564103,6.92
"76",7.54,1,7.55,"simulated",1950,0.000512820512820513,7.55
"77",0.72257525083612,80,49.45,"actual",1950,0.041025641025641,0.618125
