"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",460,0.01,104,13.42,0.226086956521739,0.129038461538462
"2",460,0.02,98,13.8,0.21304347826087,0.140816326530612
"3",460,0.03,91,14.06,0.197826086956522,0.154505494505495
"4",460,0.04,80,14.08,0.173913043478261,0.176
"5",460,0.05,73,14.12,0.158695652173913,0.193424657534247
"6",460,0.06,72,14.46,0.156521739130435,0.200833333333333
"7",460,0.07,68,14.58,0.147826086956522,0.214411764705882
"8",460,0.08,68,14.99,0.147826086956522,0.220441176470588
"9",460,0.09,65,15.11,0.141304347826087,0.232461538461538
"10",460,0.12,65,16.28,0.141304347826087,0.250461538461538
"11",460,0.13,63,16.4,0.13695652173913,0.26031746031746
"12",460,0.14,61,16.49,0.132608695652174,0.270327868852459
"13",460,0.15,61,16.87,0.132608695652174,0.27655737704918
"14",460,0.16,60,17.11,0.130434782608696,0.285166666666667
"15",460,0.17,60,17.51,0.130434782608696,0.291833333333333
"16",460,0.18,59,17.72,0.128260869565217,0.300338983050847
"17",460,0.21,57,18.47,0.123913043478261,0.324035087719298
"18",460,0.22,57,18.86,0.123913043478261,0.330877192982456
"19",460,0.23,56,19.03,0.121739130434783,0.339821428571429
"20",460,0.25,56,19.84,0.121739130434783,0.354285714285714
"21",460,0.26,55,19.98,0.119565217391304,0.363272727272727
"22",460,0.27,52,19.56,0.11304347826087,0.376153846153846
"23",460,0.28,48,18.8,0.104347826086957,0.391666666666667
"24",460,0.29,45,18.26,0.0978260869565217,0.405777777777778
"25",460,0.3,44,18.29,0.0956521739130435,0.415681818181818
"26",460,0.35,44,19.95,0.0956521739130435,0.453409090909091
"27",460,0.36,44,20.29,0.0956521739130435,0.461136363636364
"28",460,0.44,43,22.56,0.0934782608695652,0.524651162790698
"29",460,0.45,42,22.43,0.091304347826087,0.534047619047619
"30",460,0.47,41,22.6,0.0891304347826087,0.551219512195122
"31",460,0.49,41,23.24,0.0891304347826087,0.566829268292683
"32",460,0.51,40,23.36,0.0869565217391304,0.584
"33",460,0.52,38,22.63,0.0826086956521739,0.595526315789474
"34",460,0.53,38,22.94,0.0826086956521739,0.603684210526316
"35",460,0.56,37,23.3,0.0804347826086956,0.62972972972973
"36",460,0.58,36,23.32,0.0782608695652174,0.647777777777778
"37",460,0.59,34,22.43,0.0739130434782609,0.659705882352941
"38",460,0.6,23,16.02,0.05,0.696521739130435
"39",460,0.61,23,16.22,0.05,0.705217391304348
"40",460,0.64,23,16.82,0.05,0.731304347826087
"41",460,0.66,22,16.55,0.0478260869565217,0.752272727272727
"42",460,0.8,21,18.41,0.0456521739130435,0.876666666666667
"43",460,0.83,21,18.98,0.0456521739130435,0.903809523809524
"44",460,0.88,19,18.15,0.041304347826087,0.955263157894737
"45",460,0.98,18,18.86,0.0391304347826087,1.04777777777778
"46",460,1,17,18.17,0.0369565217391304,1.06882352941176
"47",460,1.07,16,18.14,0.0347826086956522,1.13375
"48",460,1.09,14,16.22,0.0304347826086957,1.15857142857143
"49",460,1.18,13,16.12,0.0282608695652174,1.24
"50",460,1.2,13,16.36,0.0282608695652174,1.25846153846154
"51",460,1.21,12,15.26,0.0260869565217391,1.27166666666667
"52",460,1.24,11,14.34,0.0239130434782609,1.30363636363636
"53",460,1.36,10,14.17,0.0217391304347826,1.417
"54",460,1.84,6,11.1,0.0130434782608696,1.85
"55",460,1.86,6,11.22,0.0130434782608696,1.87
"56",460,2.05,5,10.3,0.0108695652173913,2.06
"57",460,2.8,4,11.24,0.00869565217391304,2.81
"58",460,3.32,3,9.99,0.00652173913043478,3.33
"59",460,3.39,2,6.8,0.00434782608695652,3.4
"60",460,8.15,1,8.16,0.00217391304347826,8.16
