"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",34624,0.01,14102,8348.48,0.407289741219963,0.592006807545029
"2",34624,0.02,14061,8371.39,0.406105591497227,0.595362349761753
"3",34624,0.03,13979,8392.44,0.403737292051756,0.600360540811217
"4",34624,0.04,13927,8416.45,0.402235443622921,0.604326129101745
"5",34624,0.05,13701,8429.52,0.395708179297597,0.615248522005693
"6",34624,0.06,13667,8454.73,0.394726201478743,0.618623692105071
"7",34624,0.07,13463,8466.64,0.388834334565619,0.62888212136968
"8",34624,0.08,13415,8491.32,0.387448012939002,0.632972046216921
"9",34624,0.09,13216,8500.3,0.381700554528651,0.643182506053269
"10",34624,0.1,13031,8507.28,0.376357439926063,0.652849359220321
"11",34624,0.11,12975,8526.46,0.374740064695009,0.65714527938343
"12",34624,0.12,12956,8550.61,0.374191312384473,0.659972985489349
"13",34624,0.13,12848,8564.17,0.371072088724584,0.666576120797011
"14",34624,0.14,12746,8577.07,0.368126155268022,0.672922485485642
"15",34624,0.15,12726,8601.6,0.367548521256932,0.675907590759076
"16",34624,0.16,12696,8625.99,0.366682070240296,0.679425803402646
"17",34624,0.17,12590,8636.52,0.363620609981516,0.685982525814138
"18",34624,0.18,12574,8663.17,0.363158502772643,0.688974868776841
"19",34624,0.19,12532,8685.03,0.361945471349353,0.693028247685924
"20",34624,0.2,12513,8713.91,0.361396719038817,0.696388555901862
"21",34624,0.21,12379,8717.74,0.35752657116451,0.704236206478714
"22",34624,0.22,12343,8741.96,0.356486829944547,0.70825245078182
"23",34624,0.23,12293,8762.58,0.355042744916821,0.712810542585211
"24",34624,0.24,12265,8788.73,0.354234057301294,0.716569914390542
"25",34624,0.25,12229,8812.75,0.353194316081331,0.720643552211955
"26",34624,0.26,12210,8840.98,0.352645563770795,0.724076986076986
"27",34624,0.27,12182,8867.24,0.351836876155268,0.727896897061238
"28",34624,0.28,12136,8888.91,0.35050831792976,0.732441496374423
"29",34624,0.29,12060,8900.93,0.348313308687616,0.738053897180763
"30",34624,0.3,12039,8929.01,0.34770679297597,0.741673727053742
"31",34624,0.31,12016,8958.9,0.347042513863216,0.745580892143808
"32",34624,0.32,11921,8965.72,0.344298752310536,0.752094622934318
"33",34624,0.33,11870,8986.23,0.342825785582255,0.757053917438922
"34",34624,0.34,11830,9010.07,0.341670517560074,0.761628909551986
"35",34624,0.35,11807,9039.83,0.34100623844732,0.765633099009062
"36",34624,0.36,11779,9069.19,0.340197550831793,0.769945666015791
"37",34624,0.37,11678,9071.01,0.337280499075786,0.776760575441
"38",34624,0.38,11623,9089.5,0.335692005545286,0.782027015400499
"39",34624,0.39,11582,9112.96,0.334507855822551,0.786820929027802
"40",34624,0.4,11552,9143.35,0.333641404805915,0.791494979224377
"41",34624,0.41,11379,9114.04,0.328644870609982,0.80095263204148
"42",34624,0.42,11297,9121.15,0.32627657116451,0.807395768788174
"43",34624,0.43,11243,9139.56,0.324716959334566,0.812911144712265
"44",34624,0.44,11204,9164.93,0.323590573012939,0.818005176722599
"45",34624,0.45,11138,9177.45,0.32168438077634,0.82397647692584
"46",34624,0.46,11111,9207.25,0.320904574861368,0.828660786607866
"47",34624,0.47,11099,9244.18,0.320557994454714,0.832884043607532
"48",34624,0.48,11079,9277.74,0.319980360443623,0.837416734362307
"49",34624,0.49,11012,9287.9,0.31804528650647,0.843434435161642
"50",34624,0.5,10982,9316.19,0.317178835489834,0.848314514660353
"51",34624,0.51,10958,9347.32,0.316485674676525,0.853013323599197
"52",34624,0.52,10941,9382.92,0.315994685767098,0.857592541815191
"53",34624,0.53,10861,9384.68,0.313684149722736,0.864071448301261
"54",34624,0.54,10838,9416.64,0.313019870609982,0.868854032109245
"55",34624,0.55,10822,9452.7,0.312557763401109,0.873470707817409
"56",34624,0.56,10780,9475.04,0.311344731977819,0.878946196660482
"57",34624,0.57,10708,9480.01,0.309265249537893,0.885320321255136
"58",34624,0.58,10666,9501.83,0.308052218114603,0.890852240765048
"59",34624,0.59,10635,9530.03,0.307156885397412,0.896100611189469
"60",34624,0.6,10587,9549.22,0.305770563770795,0.901976008312081
"61",34624,0.61,10474,9527.85,0.302506931608133,0.909666793966011
"62",34624,0.62,10432,9549.64,0.301293900184843,0.915417944785276
"63",34624,0.63,10395,9574.46,0.300225277264325,0.921063973063973
"64",34624,0.64,10350,9594.98,0.298925600739372,0.927051207729469
"65",34624,0.65,10209,9552.12,0.294853280961183,0.935656773435204
"66",34624,0.66,10153,9564.07,0.293235905730129,0.941994484388851
"67",34624,0.67,10100,9578.38,0.291705175600739,0.948354455445545
"68",34624,0.68,10009,9567.11,0.289076940850277,0.955850734339095
"69",34624,0.69,9874,9523.58,0.285177911275416,0.964510836540409
"70",34624,0.7,9843,9551.67,0.284282578558226,0.970402316366961
"71",34624,0.71,9801,9571.64,0.283069547134935,0.976598306295276
"72",34624,0.72,9756,9589.89,0.281769870609982,0.982973554735547
"73",34624,0.73,9644,9558.17,0.278535120147874,0.991100165906263
"74",34624,0.74,9602,9577.06,0.277322088724584,0.997402624453239
"75",34624,0.75,9589,9618.39,0.276946626617375,1.00306497027844
"76",34624,0.76,9519,9616.47,0.274924907578558,1.01023952095808
"77",34624,0.77,9451,9615.17,0.27296095194085,1.01737064860861
"78",34624,0.78,9416,9639,0.271950092421442,1.02368309260833
"79",34624,0.79,9358,9644.2,0.270274953789279,1.03058345800385
"80",34624,0.8,9306,9658.4,0.268773105360444,1.03786804212336
"81",34624,0.81,8819,9315.09,0.254707717190388,1.05625240957025
"82",34624,0.82,8790,9342.43,0.253870147874307,1.06284755403868
"83",34624,0.83,8763,9371.23,0.253090341959335,1.06940887823805
"84",34624,0.84,8717,9384.37,0.251761783733826,1.07655959619135
"85",34624,0.85,8612,9346.11,0.248729205175601,1.0852426846261
"86",34624,0.86,8581,9370.41,0.24783387245841,1.09199510546556
"87",34624,0.87,8537,9382.94,0.246563077634011,1.09909101557924
"88",34624,0.88,8515,9415.06,0.245927680221811,1.1057028772754
"89",34624,0.89,8392,9356.06,0.242375231053604,1.11487845567207
"90",34624,0.9,8361,9378.59,0.241479898336414,1.1217067336443
"91",34624,0.91,8335,9405.27,0.240728974121996,1.12840671865627
"92",34624,0.92,8312,9434.89,0.240064695009242,1.13509263715111
"93",34624,0.93,8261,9438.69,0.238591728280961,1.14256022273333
"94",34624,0.94,8182,9415.06,0.236310073937153,1.1507039843559
"95",34624,0.95,8142,9427.46,0.235154805914972,1.15788012773274
"96",34624,0.96,8124,9460.94,0.234634935304991,1.1645667159035
"97",34624,0.97,8061,9450.15,0.232815388170055,1.17232973576479
"98",34624,0.98,8049,9489.06,0.232468807763401,1.17891166604547
"99",34624,0.99,7999,9489.97,0.231024722735675,1.18639454931866
"100",34624,1,7961,9506.22,0.229927218114603,1.19409873131516
"101",34624,1.01,7538,9129.17,0.217710258780037,1.21108649509154
"102",34624,1.02,7518,9158.95,0.217132624768946,1.21826948656558
"103",34624,1.03,7489,9179.29,0.216295055452865,1.2257030311123
"104",34624,1.04,7466,9206.2,0.215630776340111,1.23308331100991
"105",34624,1.05,7330,9112.99,0.211702865064695,1.24324556616644
"106",34624,1.06,7311,9142.56,0.211154112754159,1.25052113254001
"107",34624,1.07,7221,9095.25,0.208554759704251,1.25955546323224
"108",34624,1.08,7205,9127.47,0.208092652495379,1.26682442748092
"109",34624,1.09,7124,9088.05,0.205753234750462,1.27569483436272
"110",34624,1.1,7097,9107.25,0.20497342883549,1.28325348738904
"111",34624,1.11,7053,9107.06,0.203702634011091,1.29123209981568
"112",34624,1.12,7028,9127.82,0.202980591497227,1.29877916903813
"113",34624,1.13,6994,9137.94,0.201998613678373,1.30653989133543
"114",34624,1.14,6972,9161.33,0.201363216266174,1.31401749856569
"115",34624,1.15,6959,9194.9,0.200987754158965,1.32129616324184
"116",34624,1.16,6934,9215.36,0.200265711645102,1.32901067205076
"117",34624,1.17,6743,9039.59,0.194749306839187,1.34058875871274
