"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,107,5.58,"simulated",671,0.15946348733234,0.0521495327102804
"2",0.02,86,5.78,"simulated",671,0.128166915052161,0.0672093023255814
"3",0.03,84,6.37,"simulated",671,0.125186289120715,0.0758333333333333
"4",0.04,77,6.7,"simulated",671,0.114754098360656,0.087012987012987
"5",0.05,65,6.6,"simulated",671,0.0968703427719821,0.101538461538462
"6",0.06,65,7.1,"simulated",671,0.0968703427719821,0.109230769230769
"7",0.07,63,7.44,"simulated",671,0.0938897168405365,0.118095238095238
"8",0.08,62,7.89,"simulated",671,0.0923994038748137,0.127258064516129
"9",0.09,59,8.12,"simulated",671,0.0879284649776453,0.137627118644068
"10",0.1,53,7.97,"simulated",671,0.0789865871833085,0.150377358490566
"11",0.11,52,8.31,"simulated",671,0.0774962742175857,0.159807692307692
"12",0.12,49,8.38,"simulated",671,0.0730253353204173,0.171020408163265
"13",0.13,42,7.83,"simulated",671,0.0625931445603577,0.186428571428571
"14",0.15,41,8.39,"simulated",671,0.0611028315946349,0.204634146341463
"15",0.16,39,8.4,"simulated",671,0.0581222056631893,0.215384615384615
"16",0.18,38,8.87,"simulated",671,0.0566318926974665,0.233421052631579
"17",0.21,37,9.61,"simulated",671,0.0551415797317437,0.25972972972973
"18",0.24,35,10.04,"simulated",671,0.0521609538002981,0.286857142857143
"19",0.25,34,10.07,"simulated",671,0.0506706408345753,0.296176470588235
"20",0.26,31,9.55,"simulated",671,0.0461997019374069,0.308064516129032
"21",0.3,31,10.59,"simulated",671,0.0461997019374069,0.341612903225806
"22",0.32,30,10.78,"simulated",671,0.0447093889716841,0.359333333333333
"23",0.36,28,11.04,"simulated",671,0.0417287630402385,0.394285714285714
"24",0.37,26,10.51,"simulated",671,0.0387481371087928,0.404230769230769
"25",0.38,25,10.34,"simulated",671,0.03725782414307,0.4136
"26",0.4,25,10.76,"simulated",671,0.03725782414307,0.4304
"27",0.42,24,10.75,"simulated",671,0.0357675111773472,0.447916666666667
"28",0.44,22,10.25,"simulated",671,0.0327868852459016,0.465909090909091
"29",0.48,21,10.5,"simulated",671,0.0312965722801788,0.5
"30",0.52,21,11.27,"simulated",671,0.0312965722801788,0.536666666666667
"31",0.56,21,12.07,"simulated",671,0.0312965722801788,0.574761904761905
"32",0.63,20,12.83,"simulated",671,0.029806259314456,0.6415
"33",0.65,19,12.55,"simulated",671,0.0283159463487332,0.660526315789474
"34",0.66,18,12.06,"simulated",671,0.0268256333830104,0.67
"35",0.67,17,11.56,"simulated",671,0.0253353204172876,0.68
"36",0.73,16,11.84,"simulated",671,0.0238450074515648,0.74
"37",0.79,15,12,"simulated",671,0.022354694485842,0.8
"38",0.8,14,11.34,"simulated",671,0.0208643815201192,0.81
"39",0.82,13,10.79,"simulated",671,0.0193740685543964,0.83
"40",0.83,12,10.08,"simulated",671,0.0178837555886736,0.84
"41",1.24,11,13.75,"simulated",671,0.0163934426229508,1.25
"42",1.32,10,13.3,"simulated",671,0.014903129657228,1.33
"43",1.36,6,8.22,"simulated",671,0.00894187779433681,1.37
"44",1.41,5,7.1,"simulated",671,0.00745156482861401,1.42
"45",1.59,4,6.4,"simulated",671,0.00596125186289121,1.6
"46",4.8,3,14.43,"simulated",671,0.00447093889716841,4.81
"47",8.08,2,16.18,"simulated",671,0.0029806259314456,8.09
"48",8.34,1,8.35,"simulated",671,0.0014903129657228,8.35
"49",0.576168224299065,22,10.93,"actual",671,0.0327868852459016,0.496818181818182
