"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,2528,1023.08,"simulated",9780,0.258486707566462,0.404699367088608
"2",0.02,2473,1029.57,"simulated",9780,0.252862985685072,0.41632430246664
"3",0.03,2383,1034.23,"simulated",9780,0.243660531697342,0.434003357112883
"4",0.04,2292,1037.88,"simulated",9780,0.234355828220859,0.45282722513089
"5",0.05,2175,1038.61,"simulated",9780,0.22239263803681,0.47752183908046
"6",0.06,2116,1041.51,"simulated",9780,0.216359918200409,0.492206994328923
"7",0.07,2068,1044.61,"simulated",9780,0.211451942740286,0.505130560928433
"8",0.08,2011,1046.52,"simulated",9780,0.205623721881391,0.520397812033814
"9",0.09,1972,1049.37,"simulated",9780,0.201635991820041,0.532134888438134
"10",0.1,1964,1055.04,"simulated",9780,0.20081799591002,0.537189409368635
"11",0.11,1957,1060.77,"simulated",9780,0.200102249488753,0.542038834951456
"12",0.12,1948,1066.82,"simulated",9780,0.19918200408998,0.54764887063655
"13",0.13,1838,1058.63,"simulated",9780,0.187934560327198,0.575968443960827
"14",0.14,1832,1063.92,"simulated",9780,0.187321063394683,0.580742358078603
"15",0.15,1823,1068.73,"simulated",9780,0.18640081799591,0.586247942951179
"16",0.16,1814,1073.85,"simulated",9780,0.185480572597137,0.591979051819184
"17",0.17,1753,1069.55,"simulated",9780,0.179243353783231,0.610125499144324
"18",0.18,1744,1074.04,"simulated",9780,0.178323108384458,0.615848623853211
"19",0.19,1735,1078.55,"simulated",9780,0.177402862985685,0.62164265129683
"20",0.2,1719,1081.9,"simulated",9780,0.175766871165644,0.629377545084351
"21",0.21,1628,1068.58,"simulated",9780,0.166462167689162,0.656375921375921
"22",0.22,1621,1072.83,"simulated",9780,0.165746421267894,0.661832202344232
"23",0.23,1614,1077,"simulated",9780,0.165030674846626,0.66728624535316
"24",0.24,1612,1082.4,"simulated",9780,0.164826175869121,0.671464019851117
"25",0.25,1603,1086.03,"simulated",9780,0.163905930470348,0.677498440424205
"26",0.26,1595,1089.78,"simulated",9780,0.163087934560327,0.683247648902821
"27",0.27,1588,1093.84,"simulated",9780,0.162372188139059,0.688816120906801
"28",0.28,1574,1095.9,"simulated",9780,0.160940695296524,0.696251588310038
"29",0.29,1554,1096.05,"simulated",9780,0.158895705521472,0.70530888030888
"30",0.3,1542,1098.39,"simulated",9780,0.157668711656442,0.712315175097276
"31",0.31,1534,1101.79,"simulated",9780,0.156850715746421,0.718246414602347
"32",0.32,1529,1106.22,"simulated",9780,0.156339468302658,0.723492478744277
"33",0.33,1517,1108.29,"simulated",9780,0.155112474437628,0.730580092287409
"34",0.34,1510,1111.98,"simulated",9780,0.15439672801636,0.73641059602649
"35",0.35,1503,1115.63,"simulated",9780,0.153680981595092,0.74226879574185
"36",0.36,1497,1119.65,"simulated",9780,0.153067484662577,0.747929191716767
"37",0.37,1483,1120.59,"simulated",9780,0.151635991820041,0.755623735670937
"38",0.38,1481,1125.98,"simulated",9780,0.151431492842536,0.760283592167454
"39",0.39,1481,1132.21,"simulated",9780,0.151431492842536,0.764490209318028
"40",0.4,1472,1135.11,"simulated",9780,0.150511247443763,0.771134510869565
"41",0.41,1438,1127.42,"simulated",9780,0.147034764826176,0.784019471488178
"42",0.42,1434,1131.99,"simulated",9780,0.146625766871166,0.789393305439331
"43",0.43,1426,1134.86,"simulated",9780,0.145807770961145,0.795834502103787
"44",0.44,1422,1139.59,"simulated",9780,0.145398773006135,0.801399437412096
"45",0.45,1410,1140.65,"simulated",9780,0.144171779141104,0.808971631205674
"46",0.46,1405,1144.83,"simulated",9780,0.143660531697342,0.814825622775801
"47",0.47,1400,1148.98,"simulated",9780,0.143149284253579,0.8207
"48",0.48,1399,1155.19,"simulated",9780,0.143047034764826,0.825725518227305
"49",0.49,1382,1153.41,"simulated",9780,0.141308793456033,0.834594790159189
"50",0.5,1376,1156.94,"simulated",9780,0.140695296523517,0.840799418604651
"51",0.51,1369,1159.87,"simulated",9780,0.139979550102249,0.847238860482104
"52",0.52,1364,1163.96,"simulated",9780,0.139468302658487,0.853343108504399
"53",0.53,1349,1162.63,"simulated",9780,0.137934560327198,0.86184581171238
"54",0.54,1344,1166.61,"simulated",9780,0.137423312883436,0.868013392857143
"55",0.55,1337,1169.48,"simulated",9780,0.136707566462168,0.874704562453254
"56",0.56,1323,1168.47,"simulated",9780,0.135276073619632,0.883197278911565
"57",0.57,1305,1165,"simulated",9780,0.133435582822086,0.89272030651341
"58",0.58,1296,1166.54,"simulated",9780,0.132515337423313,0.900108024691358
"59",0.59,1279,1163.42,"simulated",9780,0.130777096114519,0.909632525410477
"60",0.6,1230,1140.57,"simulated",9780,0.125766871165644,0.927292682926829
"61",0.62,1216,1144.88,"simulated",9780,0.124335378323108,0.941513157894737
"62",0.63,1214,1150.07,"simulated",9780,0.124130879345603,0.947339373970346
"63",0.64,1211,1154.72,"simulated",9780,0.123824130879346,0.953526011560694
"64",0.65,1181,1141.5,"simulated",9780,0.120756646216769,0.966553767993226
"65",0.66,1178,1145.81,"simulated",9780,0.120449897750511,0.9726740237691
"66",0.67,1174,1149.39,"simulated",9780,0.120040899795501,0.979037478705281
"67",0.68,1172,1154.36,"simulated",9780,0.119836400817996,0.984948805460751
"68",0.69,1151,1146.03,"simulated",9780,0.117689161554192,0.995682015638575
"69",0.7,1150,1151.5,"simulated",9780,0.11758691206544,1.00130434782609
"70",0.71,1149,1156.97,"simulated",9780,0.117484662576687,1.0069364664926
"71",0.72,1147,1161.84,"simulated",9780,0.117280163599182,1.01293809938971
"72",0.73,1141,1163.71,"simulated",9780,0.116666666666667,1.01990359333918
"73",0.74,1140,1169.27,"simulated",9780,0.116564417177914,1.02567543859649
"74",0.75,1136,1172.57,"simulated",9780,0.116155419222904,1.03219190140845
"75",0.76,1134,1177.5,"simulated",9780,0.115950920245399,1.03835978835979
"76",0.77,1113,1167.58,"simulated",9780,0.113803680981595,1.04903863432165
"77",0.78,1112,1173.06,"simulated",9780,0.113701431492843,1.05491007194245
"78",0.79,1109,1176.93,"simulated",9780,0.113394683026585,1.06125338142471
"79",0.8,1109,1183.63,"simulated",9780,0.113394683026585,1.06729486023445
"80",0.81,1032,1127.21,"simulated",9780,0.105521472392638,1.09225775193798
"81",0.82,1026,1128.22,"simulated",9780,0.104907975460123,1.09962962962963
"82",0.83,1024,1132.52,"simulated",9780,0.104703476482618,1.1059765625
"83",0.84,1021,1135.94,"simulated",9780,0.10439672801636,1.11257590597453
"84",0.85,1015,1136.73,"simulated",9780,0.103783231083845,1.11993103448276
"85",0.86,1013,1140.9,"simulated",9780,0.103578732106339,1.12625863770977
"86",0.87,1010,1144.17,"simulated",9780,0.103271983640082,1.13284158415842
"87",0.88,1010,1150.1,"simulated",9780,0.103271983640082,1.13871287128713
"88",0.89,1001,1147.98,"simulated",9780,0.102351738241309,1.14683316683317
"89",0.9,992,1145.74,"simulated",9780,0.101431492842536,1.15497983870968
"90",0.91,985,1145.21,"simulated",9780,0.100715746421268,1.16264974619289
"91",0.92,985,1151.09,"simulated",9780,0.100715746421268,1.1686192893401
"92",0.93,982,1154.17,"simulated",9780,0.10040899795501,1.17532586558045
"93",0.94,981,1159.11,"simulated",9780,0.100306748466258,1.18155963302752
"94",0.95,978,1162.12,"simulated",9780,0.1,1.18826175869121
"95",0.96,976,1166.09,"simulated",9780,0.0997955010224949,1.1947643442623
"96",0.98,968,1169.99,"simulated",9780,0.0989775051124744,1.2086673553719
"97",0.99,965,1172.91,"simulated",9780,0.0986707566462168,1.21545077720207
"98",1,962,1175.9,"simulated",9780,0.0983640081799591,1.22234927234927
"99",1.01,945,1164.59,"simulated",9780,0.0966257668711656,1.23237037037037
"100",1.02,935,1160.16,"simulated",9780,0.0956032719836401,1.2408128342246
"101",1.03,935,1166.33,"simulated",9780,0.0956032719836401,1.24741176470588
"102",1.04,896,1131.57,"simulated",9780,0.0916155419222904,1.26291294642857
"103",1.05,890,1131.03,"simulated",9780,0.0910020449897751,1.2708202247191
"104",1.06,889,1135.74,"simulated",9780,0.0908997955010225,1.27754780652418
"105",1.07,885,1137.2,"simulated",9780,0.0904907975460123,1.28497175141243
"106",1.08,882,1139.72,"simulated",9780,0.0901840490797546,1.29219954648526
"107",1.09,877,1140,"simulated",9780,0.0896728016359918,1.29988597491448
"108",1.1,873,1141.32,"simulated",9780,0.0892638036809816,1.30735395189003
"109",1.11,866,1139.2,"simulated",9780,0.0885480572597137,1.31547344110855
"110",1.12,863,1141.5,"simulated",9780,0.088241308793456,1.32271147161066
"111",1.13,849,1131.31,"simulated",9780,0.0868098159509202,1.33252061248528
"112",1.14,830,1115.2,"simulated",9780,0.0848670756646217,1.34361445783133
"113",1.16,823,1118.2,"simulated",9780,0.0841513292433538,1.35868772782503
"114",1.17,813,1112.02,"simulated",9780,0.0831288343558282,1.36779827798278
"115",1.18,808,1111.6,"simulated",9780,0.0826175869120654,1.37574257425743
"116",1.2,806,1120.46,"simulated",9780,0.0824130879345603,1.39014888337469
"117",1.21,759,1068.91,"simulated",9780,0.0776073619631902,1.40831357048748
"118",1.22,755,1069.32,"simulated",9780,0.07719836400818,1.4163178807947
"119",1.23,754,1073.57,"simulated",9780,0.0770961145194274,1.42383289124668
"120",1.24,690,999.05,"simulated",9780,0.0705521472392638,1.44789855072464
"121",1.25,687,1000.12,"simulated",9780,0.0702453987730061,1.4557787481805
"122",1.26,687,1004.95,"simulated",9780,0.0702453987730061,1.46280931586608
"123",1.27,685,1007.25,"simulated",9780,0.070040899795501,1.47043795620438
"124",1.28,684,1010.82,"simulated",9780,0.0699386503067485,1.47780701754386
"125",1.29,676,1005.31,"simulated",9780,0.069120654396728,1.4871449704142
"126",1.3,674,1007.55,"simulated",9780,0.0689161554192229,1.49488130563798
"127",1.31,673,1011.09,"simulated",9780,0.0688139059304703,1.50236255572065
"128",1.32,672,1014.72,"simulated",9780,0.0687116564417178,1.51
"129",1.33,659,1002.27,"simulated",9780,0.0673824130879346,1.52089529590288
"130",1.34,657,1004.42,"simulated",9780,0.0671779141104294,1.52879756468798
"131",1.35,656,1007.89,"simulated",9780,0.0670756646216769,1.53641768292683
"132",1.36,655,1011.6,"simulated",9780,0.0669734151329243,1.54442748091603
"133",1.37,589,925.62,"simulated",9780,0.0602249488752556,1.57151103565365
"134",1.39,587,931.71,"simulated",9780,0.0600204498977505,1.5872402044293
"135",1.4,586,934.78,"simulated",9780,0.059918200408998,1.59518771331058
"136",1.41,580,930.74,"simulated",9780,0.0593047034764826,1.60472413793103
"137",1.42,575,928.01,"simulated",9780,0.0587934560327198,1.61393043478261
"138",1.43,572,928.11,"simulated",9780,0.0584867075664622,1.62256993006993
"139",1.44,561,916.76,"simulated",9780,0.0573619631901841,1.63415329768271
"140",1.45,501,833.65,"simulated",9780,0.0512269938650307,1.66397205588822
"141",1.46,499,834.61,"simulated",9780,0.0510224948875256,1.67256513026052
"142",1.48,498,840.96,"simulated",9780,0.050920245398773,1.68867469879518
"143",1.49,479,816.43,"simulated",9780,0.0489775051124744,1.70444676409186
"144",1.5,477,817.19,"simulated",9780,0.0487730061349693,1.71318658280922
"145",1.51,476,819.43,"simulated",9780,0.0486707566462168,1.72149159663866
"146",1.52,472,817.07,"simulated",9780,0.0482617586912065,1.73108050847458
"147",1.54,470,821.41,"simulated",9780,0.0480572597137014,1.74768085106383
"148",1.56,469,827.25,"simulated",9780,0.0479550102249489,1.7638592750533
"149",1.57,466,826.23,"simulated",9780,0.0476482617586912,1.77302575107296
"150",1.6,466,837.36,"simulated",9780,0.0476482617586912,1.79690987124464
"151",1.61,448,811.96,"simulated",9780,0.0458077709611452,1.81241071428571
"152",1.62,447,813.92,"simulated",9780,0.0457055214723926,1.82085011185682
"153",1.63,443,810.94,"simulated",9780,0.0452965235173824,1.83056433408578
"154",1.64,442,812.84,"simulated",9780,0.0451942740286299,1.83900452488688
"155",1.66,441,818.28,"simulated",9780,0.0450920245398773,1.85551020408163
"156",1.67,433,808.4,"simulated",9780,0.0442740286298569,1.86697459584296
"157",1.68,432,810.2,"simulated",9780,0.0441717791411043,1.87546296296296
"158",1.69,430,810.28,"simulated",9780,0.0439672801635992,1.88437209302326
"159",1.7,429,812.04,"simulated",9780,0.0438650306748466,1.89286713286713
"160",1.72,428,817.25,"simulated",9780,0.0437627811860941,1.90946261682243
"161",1.73,425,815.5,"simulated",9780,0.0434560327198364,1.91882352941176
"162",1.76,424,824.06,"simulated",9780,0.0433537832310838,1.94353773584906
"163",1.77,422,823.95,"simulated",9780,0.0431492842535787,1.95248815165877
"164",1.8,422,834.24,"simulated",9780,0.0431492842535787,1.97687203791469
"165",1.81,420,834.03,"simulated",9780,0.0429447852760736,1.98578571428571
"166",1.83,419,839.01,"simulated",9780,0.0428425357873211,2.00241050119332
"167",1.84,416,836.88,"simulated",9780,0.0425357873210634,2.01173076923077
"168",1.85,415,838.41,"simulated",9780,0.0424335378323108,2.02026506024096
"169",1.86,413,838.12,"simulated",9780,0.0422290388548057,2.02934624697337
"170",1.87,331,687.4,"simulated",9780,0.0338445807770961,2.07673716012085
"171",1.9,331,695.26,"simulated",9780,0.0338445807770961,2.1004833836858
"172",1.91,326,688.29,"simulated",9780,0.0333333333333333,2.11131901840491
"173",1.92,322,683.18,"simulated",9780,0.0329243353783231,2.12167701863354
"174",1.93,315,672.18,"simulated",9780,0.0322085889570552,2.13390476190476
"175",1.94,315,674.69,"simulated",9780,0.0322085889570552,2.14187301587302
"176",1.95,314,675.25,"simulated",9780,0.0321063394683027,2.15047770700637
"177",1.96,313,675.8,"simulated",9780,0.0320040899795501,2.1591054313099
"178",1.97,312,676.34,"simulated",9780,0.0319018404907975,2.16775641025641
"179",2,312,683.97,"simulated",9780,0.0319018404907975,2.19221153846154
"180",2.01,294,650.22,"simulated",9780,0.0300613496932515,2.21163265306122
"181",2.03,293,653.05,"simulated",9780,0.029959100204499,2.22883959044369
"182",2.04,293,655.48,"simulated",9780,0.029959100204499,2.23713310580205
"183",2.05,291,653.79,"simulated",9780,0.0297546012269939,2.24670103092783
"184",2.06,289,652.06,"simulated",9780,0.0295501022494888,2.25626297577855
"185",2.07,288,652.37,"simulated",9780,0.0294478527607362,2.26517361111111
"186",2.08,287,652.66,"simulated",9780,0.0293456032719836,2.27407665505226
"187",2.11,286,657.68,"simulated",9780,0.0292433537832311,2.29958041958042
"188",2.12,282,651.56,"simulated",9780,0.0288343558282209,2.31049645390071
"189",2.16,282,661.01,"simulated",9780,0.0288343558282209,2.34400709219858
"190",2.17,280,659.02,"simulated",9780,0.0286298568507157,2.35364285714286
"191",2.19,279,661.53,"simulated",9780,0.0285276073619632,2.3710752688172
"192",2.2,279,663.88,"simulated",9780,0.0285276073619632,2.3794982078853
"193",2.22,275,659.66,"simulated",9780,0.028118609406953,2.39876363636364
"194",2.23,274,659.73,"simulated",9780,0.0280163599182004,2.40777372262774
"195",2.24,271,655.3,"simulated",9780,0.0277096114519427,2.41808118081181
"196",2.25,270,655.33,"simulated",9780,0.0276073619631902,2.42714814814815
"197",2.26,269,655.34,"simulated",9780,0.0275051124744376,2.43620817843866
"198",2.27,268,655.34,"simulated",9780,0.0274028629856851,2.44529850746269
"199",2.28,268,657.62,"simulated",9780,0.0274028629856851,2.45380597014925
"200",2.3,263,650.63,"simulated",9780,0.0268916155419223,2.4738783269962
"201",2.32,261,650.44,"simulated",9780,0.0266871165644172,2.49210727969349
"202",2.36,259,654.59,"simulated",9780,0.0264826175869121,2.52737451737452
"203",2.37,256,649.66,"simulated",9780,0.0261758691206544,2.537734375
"204",2.38,255,649.45,"simulated",9780,0.0260736196319018,2.54686274509804
"205",2.39,254,649.22,"simulated",9780,0.0259713701431493,2.5559842519685
"206",2.4,252,646.62,"simulated",9780,0.0257668711656442,2.56595238095238
"207",2.42,232,602.43,"simulated",9780,0.023721881390593,2.59668103448276
"208",2.44,232,606.45,"simulated",9780,0.023721881390593,2.61400862068965
"209",2.46,230,605.53,"simulated",9780,0.0235173824130879,2.63273913043478
"210",2.47,229,605.06,"simulated",9780,0.0234151329243354,2.64218340611354
"211",2.49,220,586.56,"simulated",9780,0.0224948875255624,2.66618181818182
"212",2.52,218,587.23,"simulated",9780,0.0222903885480573,2.69371559633028
"213",2.53,217,586.58,"simulated",9780,0.0221881390593047,2.70313364055299
"214",2.54,216,585.91,"simulated",9780,0.0220858895705521,2.7125462962963
"215",2.55,215,585.22,"simulated",9780,0.0219836400817996,2.72195348837209
"216",2.56,214,584.51,"simulated",9780,0.021881390593047,2.73135514018692
"217",2.57,212,581.2,"simulated",9780,0.0216768916155419,2.74150943396226
"218",2.58,211,580.44,"simulated",9780,0.0215746421267894,2.75090047393365
"219",2.59,210,579.67,"simulated",9780,0.0214723926380368,2.76033333333333
"220",2.6,210,581.5,"simulated",9780,0.0214723926380368,2.76904761904762
"221",2.61,205,570.23,"simulated",9780,0.020961145194274,2.78160975609756
"222",2.63,200,560.62,"simulated",9780,0.0204498977505112,2.8031
"223",2.65,189,534.9,"simulated",9780,0.0193251533742331,2.83015873015873
"224",2.66,189,536.59,"simulated",9780,0.0193251533742331,2.83910052910053
"225",2.67,185,527.57,"simulated",9780,0.0189161554192229,2.85172972972973
"226",2.71,182,526.06,"simulated",9780,0.0186094069529652,2.89043956043956
"227",2.72,182,527.7,"simulated",9780,0.0186094069529652,2.89945054945055
"228",2.74,181,528.23,"simulated",9780,0.0185071574642127,2.91839779005525
"229",2.76,180,528.73,"simulated",9780,0.0184049079754601,2.93738888888889
"230",2.78,178,526.41,"simulated",9780,0.018200408997955,2.9573595505618
"231",2.8,177,526.84,"simulated",9780,0.0180981595092025,2.97649717514124
"232",2.82,167,501.78,"simulated",9780,0.0170756646216769,3.00467065868263
"233",2.84,166,501.97,"simulated",9780,0.0169734151329243,3.0239156626506
"234",2.88,165,505.14,"simulated",9780,0.0168711656441718,3.06145454545455
"235",2.9,165,508.18,"simulated",9780,0.0168711656441718,3.07987878787879
"236",2.92,162,502.43,"simulated",9780,0.0165644171779141,3.10141975308642
"237",2.96,159,499.48,"simulated",9780,0.0162576687116564,3.14138364779874
"238",3,158,502.31,"simulated",9780,0.0161554192229039,3.17917721518987
"239",3.03,154,494.5,"simulated",9780,0.0157464212678937,3.21103896103896
"240",3.04,153,492.86,"simulated",9780,0.0156441717791411,3.22130718954248
"241",3.11,152,499.54,"simulated",9780,0.0155419222903885,3.28644736842105
"242",3.12,151,497.8,"simulated",9780,0.015439672801636,3.29668874172185
"243",3.13,149,492.9,"simulated",9780,0.0152351738241309,3.30805369127517
"244",3.2,148,499.22,"simulated",9780,0.0151329243353783,3.37310810810811
"245",3.24,136,465.66,"simulated",9780,0.0139059304703476,3.42397058823529
"246",3.32,133,465.59,"simulated",9780,0.01359918200409,3.50067669172932
"247",3.33,129,453.44,"simulated",9780,0.0131901840490798,3.51503875968992
"248",3.36,126,446.85,"simulated",9780,0.0128834355828221,3.54642857142857
"249",3.38,126,449.15,"simulated",9780,0.0128834355828221,3.56468253968254
"250",3.4,125,448.04,"simulated",9780,0.0127811860940695,3.58432
