"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,5233,335.27,"simulated",37533,0.139423973569925,0.0640684120007644
"2",0.02,4809,360.86,"simulated",37533,0.128127248021741,0.0750384695362861
"3",0.03,4648,391.48,"simulated",37533,0.123837689499907,0.0842254733218589
"4",0.04,4187,404.99,"simulated",37533,0.11155516478832,0.0967255791736327
"5",0.05,3917,421.24,"simulated",37533,0.104361495217542,0.107541485830993
"6",0.06,3843,446.42,"simulated",37533,0.102389896890736,0.116164454852979
"7",0.07,3717,466.49,"simulated",37533,0.0990328510910399,0.125501748722088
"8",0.08,3582,484.34,"simulated",37533,0.095436016305651,0.135214963707426
"9",0.09,3350,490.08,"simulated",37533,0.0892547891189087,0.146292537313433
"10",0.1,3238,504.82,"simulated",37533,0.0862707484080676,0.155904879555281
"11",0.11,3115,516.38,"simulated",37533,0.0829936322702688,0.165772070626003
"12",0.12,3038,532.11,"simulated",37533,0.0809421042815655,0.175151415404872
"13",0.13,2669,505.8,"simulated",37533,0.0711107558681693,0.189509179467966
"14",0.14,2607,518.5,"simulated",37533,0.0694588761889537,0.198887610280015
"15",0.15,2464,517.3,"simulated",37533,0.0656488956385048,0.209943181818182
"16",0.16,2389,525.35,"simulated",37533,0.0636506540910665,0.219903725408121
"17",0.17,2240,518.71,"simulated",37533,0.0596808142168225,0.231566964285714
"18",0.18,2222,534.12,"simulated",37533,0.0592012362454373,0.24037803780378
"19",0.19,2192,546.8,"simulated",37533,0.058401939626462,0.249452554744526
"20",0.2,2170,560.78,"simulated",37533,0.0578157887725468,0.258423963133641
"21",0.21,2103,564.48,"simulated",37533,0.0560306929901686,0.268416547788873
"22",0.22,2075,575.87,"simulated",37533,0.0552846828124584,0.277527710843374
"23",0.23,2068,591.8,"simulated",37533,0.0550981802680308,0.286170212765957
"24",0.24,2041,603,"simulated",37533,0.054378813310953,0.295443410093092
"25",0.25,1943,595.4,"simulated",37533,0.051767777688967,0.306433350488935
"26",0.26,1872,593.17,"simulated",37533,0.0498761090240588,0.316864316239316
"27",0.27,1825,596.32,"simulated",37533,0.0486238776543309,0.326750684931507
"28",0.28,1807,607.13,"simulated",37533,0.0481442996829457,0.335987825124516
"29",0.29,1781,615.18,"simulated",37533,0.0474515759465004,0.345412689500281
"30",0.3,1761,624.65,"simulated",37533,0.0469187115338502,0.354713231118683
"31",0.31,1717,626.26,"simulated",37533,0.0457464098260198,0.364740827023879
"32",0.32,1604,604.43,"simulated",37533,0.0427357258945461,0.376826683291771
"33",0.33,1471,573.55,"simulated",37533,0.0391921775504223,0.389904826648538
"34",0.34,1460,582.72,"simulated",37533,0.0388991021234647,0.399123287671233
"35",0.35,1447,590.95,"simulated",37533,0.0385527402552421,0.408396682791983
"36",0.36,1435,599.35,"simulated",37533,0.0382330216076519,0.417665505226481
"37",0.37,1360,583.58,"simulated",37533,0.0362347800602137,0.429102941176471
"38",0.38,1347,590.54,"simulated",37533,0.035888418191991,0.43841128433556
"39",0.39,1311,588.1,"simulated",37533,0.0349292622492207,0.448588863463005
"40",0.4,1303,596.52,"simulated",37533,0.0347161164841606,0.457805065234075
"41",0.41,1191,561.12,"simulated",37533,0.0317320757733195,0.471133501259446
"42",0.42,1186,569.53,"simulated",37533,0.0315988596701569,0.480210792580101
"43",0.43,1165,570.82,"simulated",37533,0.0310393520368742,0.489974248927039
"44",0.44,1147,573.1,"simulated",37533,0.030559774065489,0.499651264167393
"45",0.45,1123,572.28,"simulated",37533,0.0299203367703088,0.50959928762244
"46",0.46,1116,578.97,"simulated",37533,0.0297338342258812,0.518790322580645
"47",0.47,1105,583.6,"simulated",37533,0.0294407587989236,0.52814479638009
"48",0.48,1093,587.61,"simulated",37533,0.0291210401513335,0.537612076852699
"49",0.49,1074,587.9,"simulated",37533,0.0286148189593158,0.547392923649907
"50",0.5,1069,594.95,"simulated",37533,0.0284816028561533,0.556548175865295
"51",0.51,1065,602.42,"simulated",37533,0.0283750299736232,0.565652582159624
"52",0.52,1063,610.88,"simulated",37533,0.0283217435323582,0.574675446848542
"53",0.53,1048,612.31,"simulated",37533,0.0279220952228705,0.584265267175573
"54",0.54,1041,617.86,"simulated",37533,0.027735592678443,0.593525456292027
"55",0.55,1036,624.41,"simulated",37533,0.0276023765752804,0.602712355212355
"56",0.56,1032,631.45,"simulated",37533,0.0274958036927504,0.61187015503876
"57",0.57,1021,634.37,"simulated",37533,0.0272027282657928,0.621322233104799
"58",0.58,1011,637.68,"simulated",37533,0.0269362960594677,0.630741839762611
"59",0.59,1004,642.59,"simulated",37533,0.0267497935150401,0.640029880478088
"60",0.6,1000,649.22,"simulated",37533,0.0266432206325101,0.64922
"61",0.61,989,651.44,"simulated",37533,0.0263501452055524,0.658685540950455
"62",0.62,987,659.12,"simulated",37533,0.0262968587642874,0.667801418439716
"63",0.63,983,665.48,"simulated",37533,0.0261902858817574,0.676988809766022
"64",0.64,955,656.18,"simulated",37533,0.0254442757040471,0.687099476439791
"65",0.65,942,656.24,"simulated",37533,0.0250979138358245,0.696645435244161
"66",0.66,930,656.75,"simulated",37533,0.0247781951882344,0.706182795698925
"67",0.67,901,645.48,"simulated",37533,0.0240055417898916,0.716403995560488
"68",0.68,882,640.58,"simulated",37533,0.0234993205978739,0.726281179138322
"69",0.69,868,638.97,"simulated",37533,0.0231263155090187,0.736140552995392
"70",0.7,798,597.33,"simulated",37533,0.021261290064743,0.748533834586466
