"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",8102,0.01,1570,344.88,0.193779313749691,0.219668789808917
"2",8102,0.02,1511,350.85,0.186497161194767,0.232197220383852
"3",8102,0.03,1425,355.05,0.175882498148605,0.249157894736842
"4",8102,0.04,1362,358.96,0.16810664033572,0.263553597650514
"5",8102,0.05,1301,361.84,0.160577635151814,0.278124519600307
"6",8102,0.06,1286,366.9,0.158726240434461,0.285303265940902
"7",8102,0.07,1265,371.41,0.156134287830165,0.293604743083004
"8",8102,0.08,1234,374.85,0.152308072080968,0.303768233387358
"9",8102,0.09,1199,377.35,0.147988151073809,0.314720600500417
"10",8102,0.1,1164,379.21,0.14366823006665,0.325781786941581
"11",8102,0.11,1158,383.89,0.142927672179709,0.331511226252159
"12",8102,0.12,1143,387.8,0.141076277462355,0.33928258967629
"13",8102,0.13,1080,384.86,0.133300419649469,0.356351851851852
"14",8102,0.14,1068,388.47,0.131819303875586,0.36373595505618
"15",8102,0.15,1041,389.49,0.12848679338435,0.374149855907781
"16",8102,0.16,1032,393.4,0.127375956553937,0.381201550387597
"17",8102,0.17,979,389.33,0.120834361885954,0.397681307456588
"18",8102,0.18,953,389.41,0.117625277709208,0.408614900314795
"19",8102,0.19,942,392.03,0.116267588249815,0.416167728237792
"20",8102,0.2,933,395.28,0.115156751419403,0.423665594855305
"21",8102,0.21,882,389.24,0.1088620093804,0.441315192743764
"22",8102,0.22,876,392.57,0.108121451493458,0.448139269406393
"23",8102,0.23,873,396.55,0.107751172549988,0.454238258877434
"24",8102,0.24,865,399.4,0.106763762034066,0.461734104046243
"25",8102,0.25,843,398.49,0.10404838311528,0.47270462633452
"26",8102,0.26,835,400.96,0.103060972599358,0.480191616766467
"27",8102,0.27,823,402.24,0.101579856825475,0.488748481166464
"28",8102,0.28,806,401.99,0.0994816094791409,0.498746898263027
"29",8102,0.29,788,401.13,0.0972599358183165,0.509048223350254
"30",8102,0.3,786,404.95,0.097013083189336,0.515203562340967
"31",8102,0.31,774,405.58,0.095531967415453,0.524005167958656
"32",8102,0.32,764,406.76,0.0942977042705505,0.532408376963351
"33",8102,0.33,737,401.98,0.0909651937793138,0.545427408412483
"34",8102,0.34,731,404.05,0.0902246358923723,0.552735978112175
"35",8102,0.35,721,404.59,0.0889903727474698,0.561151178918169
"36",8102,0.36,713,405.84,0.0880029622315478,0.569200561009818
"37",8102,0.37,675,395.58,0.0833127622809183,0.586044444444444
"38",8102,0.38,670,397.51,0.082695630708467,0.593298507462687
"39",8102,0.39,666,399.78,0.082201925450506,0.60027027027027
"40",8102,0.4,662,402.05,0.081708220192545,0.607326283987915
"41",8102,0.41,643,398.01,0.0793631202172303,0.618989113530327
"42",8102,0.42,639,400.05,0.0788694149592693,0.626056338028169
"43",8102,0.43,634,401.61,0.0782522833868181,0.633454258675079
"44",8102,0.44,624,400.86,0.0770180202419156,0.642403846153846
"45",8102,0.45,610,398.1,0.0752900518390521,0.652622950819672
"46",8102,0.46,608,400.72,0.0750431992100716,0.659078947368421
"47",8102,0.47,603,401.9,0.0744260676376203,0.666500829187396
"48",8102,0.48,601,404.52,0.0741792150086398,0.673078202995008
"49",8102,0.49,591,403.12,0.0729449518637374,0.682098138747885
"50",8102,0.5,587,404.6,0.0724512466057764,0.689267461669506
"51",8102,0.51,582,405.54,0.0718341150333251,0.69680412371134
"52",8102,0.52,578,407.01,0.0713404097753641,0.70416955017301
"53",8102,0.53,573,407.89,0.0707232782029129,0.711849912739965
"54",8102,0.54,571,410.33,0.0704764255739324,0.71861646234676
"55",8102,0.55,566,411.06,0.0698592940014811,0.726254416961131
"56",8102,0.56,563,412.89,0.0694890150580104,0.733374777975133
"57",8102,0.57,544,405.39,0.0671439150826956,0.745202205882353
"58",8102,0.58,542,407.56,0.0668970624537151,0.751955719557196
"59",8102,0.59,538,408.53,0.0664033571957541,0.759349442379182
"60",8102,0.6,535,410.1,0.0660330782522834,0.766542056074766
"61",8102,0.61,524,406.67,0.0646753887928906,0.776087786259542
"62",8102,0.62,522,408.7,0.0644285361639101,0.782950191570881
"63",8102,0.63,519,410.06,0.0640582572204394,0.79009633911368
"64",8102,0.64,515,410.77,0.0635645519624784,0.797611650485437
"65",8102,0.65,504,406.81,0.0622068625030857,0.807162698412698
"66",8102,0.66,501,408.01,0.0618365835596149,0.81439121756487
"67",8102,0.67,495,407.13,0.0610960256726734,0.822484848484848
"68",8102,0.68,490,406.91,0.0604788941002222,0.830428571428572
"69",8102,0.69,483,405.2,0.0596149098987904,0.838923395445135
"70",8102,0.7,480,406.21,0.0592446309553197,0.846270833333333
"71",8102,0.71,477,407.19,0.0588743520118489,0.853647798742138
"72",8102,0.72,475,408.96,0.0586274993828684,0.860968421052631
"73",8102,0.73,468,407,0.0577635151814367,0.86965811965812
"74",8102,0.74,466,408.66,0.0575166625524562,0.876952789699571
"75",8102,0.75,462,408.78,0.0570229572944952,0.884805194805195
"76",8102,0.76,449,401.99,0.0554184152061219,0.895300668151448
"77",8102,0.77,439,397.28,0.0541841520612195,0.90496583143508
"78",8102,0.78,436,397.94,0.0538138731177487,0.912706422018349
