"","floorPrice","wins","revenue","floorPriceType","auctions","fill","eCpm"
"1",0.01,555,105.92,"simulated",3860,0.143782383419689,0.190846846846847
"2",0.02,530,107.94,"simulated",3860,0.137305699481865,0.203660377358491
"3",0.03,505,109.59,"simulated",3860,0.130829015544041,0.217009900990099
"4",0.04,490,111.4,"simulated",3860,0.126943005181347,0.22734693877551
"5",0.05,457,111.93,"simulated",3860,0.11839378238342,0.24492341356674
"6",0.06,449,113.6,"simulated",3860,0.116321243523316,0.253006681514477
"7",0.07,433,114.54,"simulated",3860,0.112176165803109,0.264526558891455
"8",0.08,414,115.06,"simulated",3860,0.107253886010363,0.27792270531401
"9",0.09,390,114.75,"simulated",3860,0.101036269430052,0.294230769230769
"10",0.1,379,115.41,"simulated",3860,0.0981865284974093,0.304511873350924
"11",0.11,379,117.19,"simulated",3860,0.0981865284974093,0.309208443271768
"12",0.12,376,118.69,"simulated",3860,0.0974093264248705,0.315664893617021
"13",0.13,350,116.96,"simulated",3860,0.0906735751295337,0.334171428571429
"14",0.14,345,117.9,"simulated",3860,0.0893782383419689,0.341739130434783
"15",0.15,339,118.62,"simulated",3860,0.0878238341968912,0.349911504424779
"16",0.16,334,119.49,"simulated",3860,0.0865284974093264,0.357754491017964
"17",0.17,330,120.45,"simulated",3860,0.0854922279792746,0.365
"18",0.18,324,120.96,"simulated",3860,0.0839378238341969,0.373333333333333
"19",0.19,321,121.96,"simulated",3860,0.083160621761658,0.37993769470405
"20",0.2,316,122.66,"simulated",3860,0.0818652849740933,0.388164556962025
"21",0.21,294,119.54,"simulated",3860,0.0761658031088083,0.406598639455782
"22",0.22,290,120.13,"simulated",3860,0.0751295336787565,0.414241379310345
"23",0.23,290,121.6,"simulated",3860,0.0751295336787565,0.419310344827586
"24",0.24,288,122.66,"simulated",3860,0.0746113989637306,0.425902777777778
"25",0.25,282,122.69,"simulated",3860,0.0730569948186529,0.435070921985816
"26",0.26,279,123.42,"simulated",3860,0.072279792746114,0.44236559139785
"27",0.27,275,123.87,"simulated",3860,0.0712435233160622,0.450436363636364
"28",0.28,271,124.26,"simulated",3860,0.0702072538860104,0.458523985239852
"29",0.3,265,125.47,"simulated",3860,0.0686528497409326,0.473471698113208
"30",0.31,261,125.71,"simulated",3860,0.0676165803108808,0.481647509578544
"31",0.32,260,126.9,"simulated",3860,0.0673575129533679,0.488076923076923
"32",0.33,254,126.37,"simulated",3860,0.0658031088082902,0.49751968503937
"33",0.34,252,127.14,"simulated",3860,0.0652849740932643,0.50452380952381
"34",0.35,251,128.25,"simulated",3860,0.0650259067357513,0.510956175298805
"35",0.36,248,128.69,"simulated",3860,0.0642487046632124,0.518911290322581
"36",0.38,238,127.83,"simulated",3860,0.0616580310880829,0.537100840336134
"37",0.39,235,128.06,"simulated",3860,0.060880829015544,0.544936170212766
"38",0.4,232,128.28,"simulated",3860,0.0601036269430052,0.552931034482759
"39",0.42,225,128.14,"simulated",3860,0.0582901554404145,0.569511111111111
"40",0.43,224,129.11,"simulated",3860,0.0580310880829016,0.576383928571429
"41",0.44,221,129.21,"simulated",3860,0.0572538860103627,0.584660633484163
"42",0.45,214,127.42,"simulated",3860,0.055440414507772,0.595420560747664
"43",0.46,212,127.85,"simulated",3860,0.0549222797927461,0.603066037735849
"44",0.47,211,128.73,"simulated",3860,0.0546632124352332,0.610094786729858
"45",0.48,210,129.62,"simulated",3860,0.0544041450777202,0.617238095238095
"46",0.49,207,129.5,"simulated",3860,0.0536269430051813,0.6256038647343
"47",0.5,201,127.8,"simulated",3860,0.0520725388601036,0.635820895522388
"48",0.51,200,128.59,"simulated",3860,0.0518134715025907,0.64295
"49",0.52,198,128.87,"simulated",3860,0.0512953367875648,0.650858585858586
"50",0.53,194,128.03,"simulated",3860,0.050259067357513,0.659948453608247
"51",0.54,193,128.76,"simulated",3860,0.05,0.667150259067358
