"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",32866,0.01,11631,6200,0.353891559666525,0.533058206517066
"2",32866,0.02,11531,6224.7,0.350848901600438,0.539823085595352
"3",32866,0.03,11267,6241.51,0.34281628430597,0.553963788053608
"4",32866,0.04,11220,6265.68,0.341386235014909,0.558438502673797
"5",32866,0.05,11061,6283.53,0.336548408689831,0.568079739625712
"6",32866,0.06,10900,6298.59,0.331649729203432,0.577852293577982
"7",32866,0.07,10836,6319.49,0.329702428041137,0.583193983019564
"8",32866,0.08,10732,6336.93,0.326538063652407,0.590470555348491
"9",32866,0.09,10612,6351.65,0.322886873973103,0.598534677723332
"10",32866,0.1,10380,6352.15,0.315827907259782,0.611960500963391
"11",32866,0.11,10339,6371.3,0.314580417452687,0.61623948157462
"12",32866,0.12,10302,6391.31,0.313454633968235,0.620395068918657
"13",32866,0.13,10208,6403.08,0.310594535386113,0.627260971786834
"14",32866,0.14,10174,6423.11,0.309560031643644,0.631325928838215
"15",32866,0.15,10084,6433.94,0.306821639384166,0.638034510115034
"16",32866,0.16,10048,6452.99,0.305726282480375,0.642216361464968
"17",32866,0.17,9948,6460.11,0.302683624414288,0.649387816646562
"18",32866,0.18,9915,6478.52,0.30167954725248,0.653405950579929
"19",32866,0.19,9872,6494.54,0.300371204284063,0.657874797406807
"20",32866,0.2,9857,6519.48,0.29991480557415,0.661406107334889
"21",32866,0.21,9391,6445.54,0.285736018986186,0.686352891065914
"22",32866,0.22,9341,6458.44,0.284214689953143,0.691407772187132
"23",32866,0.23,9308,6474.79,0.283210612791335,0.695615599484315
"24",32866,0.24,9275,6492.07,0.282206535629526,0.699953638814016
"25",32866,0.25,9088,6469,0.276516765045944,0.711817781690141
"26",32866,0.26,9051,6482.89,0.275390981561492,0.716262291459507
"27",32866,0.27,9024,6499.55,0.274569463883649,0.72025155141844
"28",32866,0.28,8990,6514.7,0.273534960141179,0.724660734149055
"29",32866,0.29,8875,6505.15,0.27003590336518,0.732974647887324
"30",32866,0.3,8862,6525.33,0.269640357816589,0.73632701421801
"31",32866,0.31,8841,6542.95,0.26900139962271,0.740068996719828
"32",32866,0.32,8829,6564.2,0.26863628065478,0.743481708007702
"33",32866,0.33,8751,6563.14,0.266263007363232,0.749987430007999
"34",32866,0.34,8705,6572.08,0.264863384652833,0.754977599080988
"35",32866,0.35,8671,6584.81,0.263828880910363,0.75940606619767
"36",32866,0.36,8617,6591.58,0.262185845554677,0.764950678890565
"37",32866,0.37,8472,6563.21,0.257773991358851,0.774694287063267
"38",32866,0.38,8433,6573.71,0.256587354713077,0.779522115498636
"39",32866,0.39,8410,6590.22,0.255887543357877,0.783617122473246
"40",32866,0.4,8365,6598.92,0.254518347228138,0.788872683801554
"41",32866,0.41,8279,6590.18,0.251901661291304,0.796011595603334
"42",32866,0.42,8254,6606.96,0.251140996774782,0.800455536709474
"43",32866,0.43,8194,6608.37,0.249315401935131,0.806488894312912
"44",32866,0.44,8157,6620.07,0.248189618450679,0.811581463773446
"45",32866,0.45,8075,6610.91,0.245694638836488,0.818688544891641
"46",32866,0.46,8047,6626,0.244842694577983,0.823412451845408
"47",32866,0.47,8018,6640.46,0.243960323738818,0.828194063357446
"48",32866,0.48,7991,6656.27,0.243138806060975,0.832970842197472
"49",32866,0.49,7915,6647.66,0.240826385930749,0.839881238155401
"50",32866,0.5,7878,6658.32,0.239700602446297,0.845178979436405
"51",32866,0.51,7827,6661.41,0.238148846832593,0.851080873898045
"52",32866,0.52,7801,6677.75,0.23735775573541,0.856012049737213
"53",32866,0.53,7718,6663.24,0.234832349540559,0.863337652241513
"54",32866,0.54,7691,6678.36,0.234010831862715,0.868334416850865
"55",32866,0.55,7665,6697.69,0.233219740765533,0.873801696020874
