"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",1188251,0.01,377418,27844.84,0.317624811592837,0.0737771913369261
"2",1188251,0.02,368839,29115.32,0.310404956528545,0.078937747906268
"3",1188251,0.03,356758,30275.22,0.300237912696897,0.0848620633594761
"4",1188251,0.04,348039,31956.11,0.292900237407753,0.0918176123940133
"5",1188251,0.05,306098,31714.58,0.257603822761353,0.103609236257669
"6",1188251,0.06,260530,30494.47,0.219255022718264,0.117047825586305
"7",1188251,0.07,249173,31243.83,0.209697277763705,0.125390110485486
"8",1188251,0.08,235574,31750.92,0.198252726065452,0.134781087895948
"9",1188251,0.09,214853,31384.24,0.180814491214398,0.146073082526192
"10",1188251,0.1,202602,31565.51,0.170504379966859,0.155800584396995
"11",1188251,0.11,199051,32571.83,0.167515954120804,0.163635600926396
"12",1188251,0.12,196180,33656.15,0.165099797938314,0.171557498215924
"13",1188251,0.13,188991,34097.42,0.159049729392191,0.180418220973486
"14",1188251,0.14,186636,35196.12,0.157067824895582,0.188581624123963
"15",1188251,0.15,166527,33420.85,0.140144632741736,0.200693280969452
"16",1188251,0.16,164276,34320.14,0.138250251840731,0.208917553385765
"17",1188251,0.17,157584,34395.39,0.13261844509283,0.218267019494365
"18",1188251,0.18,154487,35033.76,0.130012093404508,0.226774809530899
"19",1188251,0.19,151959,35735.58,0.127884596772904,0.235165932916116
"20",1188251,0.2,150043,36635.21,0.126272142838508,0.24416473944136
"21",1188251,0.21,95356,25898.97,0.0802490382924147,0.271602940559587
"22",1188251,0.22,92649,26031.78,0.0779709000876078,0.280972055823592
"23",1188251,0.23,90946,26356.74,0.0765377012095929,0.289806478569701
"24",1188251,0.24,89675,26771.31,0.0754680618825484,0.298537050459994
"25",1188251,0.25,86187,26588.88,0.0725326551376771,0.30850221031014
"26",1188251,0.26,85139,26999.82,0.0716506865973603,0.31712634632777
"27",1188251,0.27,83871,27332.31,0.0705835719894197,0.325885109274958
"28",1188251,0.28,82902,27737.64,0.0697680877188405,0.334583484113773
"29",1188251,0.29,80435,27678.37,0.0676919270423505,0.344108534841798
"30",1188251,0.3,79487,28045.71,0.066894115805499,0.352833922528212
"31",1188251,0.31,78364,28341.06,0.0659490292875832,0.361659180235823
"32",1188251,0.32,77573,28735.31,0.0652833450171723,0.370429273071816
"33",1188251,0.33,74503,28341.31,0.0626997158007862,0.380404950136236
"34",1188251,0.34,73929,28761.93,0.0622166528788951,0.389048005518809
"35",1188251,0.35,73291,29152.08,0.0616797292827862,0.397757978469389
"36",1188251,0.36,71927,29279.25,0.0605318236635189,0.407068972708441
"37",1188251,0.37,64582,27108.98,0.0543504697239893,0.419760614412685
"38",1188251,0.38,63825,27363.29,0.0537133989367566,0.428723697610654
"39",1188251,0.39,63181,27649.62,0.0531714259024398,0.437625551985565
"40",1188251,0.4,62532,27931.37,0.0526252450029497,0.446673223309665
"41",1188251,0.41,58147,26633.34,0.0489349472459943,0.458034636352692
"42",1188251,0.42,57411,26820.48,0.0483155494924894,0.467166222500914
"43",1188251,0.43,56555,26955.89,0.047595162974826,0.476631420740872
"44",1188251,0.44,48231,23717.94,0.0405899090343707,0.491757168625988
"45",1188251,0.45,46320,23264.55,0.0389816629651479,0.502257124352332
"46",1188251,0.46,45725,23392.34,0.0384809270095291,0.511587534171679
"47",1188251,0.47,45322,23601.25,0.0381417730765638,0.52074599532236
"48",1188251,0.48,44896,23793.89,0.0377832629638014,0.529977949037776
"49",1188251,0.49,43731,23610.25,0.0368028303784301,0.539897326839084
"50",1188251,0.5,42596,23419.99,0.0358476449840985,0.549816649450653
"51",1188251,0.51,41883,23427.35,0.0352476034103906,0.559352243153547
"52",1188251,0.52,41515,23606.11,0.0349379045336381,0.568616403709503
"53",1188251,0.53,39783,23041.86,0.0334803000376183,0.579188598144936
"54",1188251,0.54,39335,23150.62,0.0331032753180936,0.588550146180247
"55",1188251,0.55,38975,23300.26,0.0328003090256183,0.597825785760103
"56",1188251,0.56,38652,23465.74,0.0325284809354253,0.607102866604574
"57",1188251,0.57,37640,23226.32,0.031676809024356,0.617064824654623
"58",1188251,0.58,37165,23283.96,0.0312770618328956,0.626502354365667
"59",1188251,0.59,36897,23456.7,0.0310515202596084,0.635734612570128
"60",1188251,0.6,36685,23662.17,0.0308731067762619,0.645009404388715
"61",1188251,0.61,34882,22877.59,0.0293557505947817,0.655856602259045
"62",1188251,0.62,34476,22937.85,0.0290140719427124,0.665328054298643
"63",1188251,0.63,34056,22981.88,0.028660611268158,0.674826168663378
"64",1188251,0.64,33589,22988.46,0.0282675966609748,0.684404418113073
"65",1188251,0.65,32805,22777.44,0.0276078034018065,0.694328303612254
"66",1188251,0.66,32202,22673.42,0.0271003348619105,0.704099745357431
"67",1188251,0.67,31411,22430.2,0.0264346505914996,0.714087421603897
"68",1188251,0.68,30788,22288.28,0.0259103505909105,0.723927504222424
"69",1188251,0.69,30104,22091.71,0.0253347146352075,0.733846332713261
"70",1188251,0.7,29839,22179.52,0.0251116977810244,0.743306411072757
"71",1188251,0.71,29523,22225.73,0.0248457607020739,0.752827625918775
"72",1188251,0.72,29217,22274.06,0.0245882393534699,0.76236643050279
"73",1188251,0.73,28458,21981.38,0.023949485420168,0.772414786703212
"74",1188251,0.74,28242,22081.43,0.0237677056446828,0.781864952907018
"75",1188251,0.75,27846,22040.61,0.02343444272296,0.791517991812109
"76",1188251,0.76,27680,22169.73,0.0232947415992076,0.800929552023122
"77",1188251,0.77,27085,21961.15,0.0227940056435888,0.81082333394868
"78",1188251,0.78,26835,22013.96,0.0225836123849254,0.820345071734675
"79",1188251,0.79,26530,22018.14,0.0223269326093561,0.829933660007539
"80",1188251,0.8,26318,22097.24,0.0221485191260096,0.839624591534311
"81",1188251,0.81,22346,19089.09,0.0188057910323661,0.854250872639399
"82",1188251,0.82,22145,19131.71,0.0186366348524007,0.863929103635132
"83",1188251,0.83,21942,19169.39,0.0184657955263661,0.873639139549722
"84",1188251,0.84,21009,18583.45,0.0176806078850344,0.884547098862392
"85",1188251,0.85,20021,17931.7,0.0168491337267968,0.895644573198142
"86",1188251,0.86,19835,17958.13,0.0166926011423512,0.905375850768843
"87",1188251,0.87,19599,17937,0.016493989906173,0.915199755089545
"88",1188251,0.88,19473,18009.75,0.0163879517038067,0.924857494993067
"89",1188251,0.89,18669,17469.99,0.0157113269839453,0.935775349509883
"90",1188251,0.9,18487,17480.28,0.0155581606916384,0.945544436631146
"91",1188251,0.91,18311,17492.54,0.0154100438375394,0.955302277319644
"92",1188251,0.92,18231,17590.74,0.0153427179947671,0.964880697712687
"93",1188251,0.93,18049,17591.64,0.0151895517024602,0.974660091971854
"94",1188251,0.94,17963,17680.17,0.01511717642148,0.98425485720648
"95",1188251,0.95,17893,17782.37,0.0150582663090542,0.993817135192533
"96",1188251,0.96,17808,17869.12,0.0149867326011087,1.00343216531896
"97",1188251,0.97,17455,17691.55,0.014689657319876,1.01355199083357
"98",1188251,0.98,17418,17820.03,0.0146585191175938,1.02308129521185
"99",1188251,0.99,17296,17863.09,0.0145558472073661,1.03278734967623
"100",1188251,1,17110,17840.15,0.0143993146229206,1.04267387492694
"101",1188251,1.01,16055,16927.22,0.0135114550713612,1.05432700093429
"102",1188251,1.02,15986,17008.85,0.0134533865319701,1.06398411109721
"103",1188251,1.03,15862,17032.07,0.0133490314756731,1.07376560332871
"104",1188251,1.04,15682,16994.23,0.0131975483294354,1.08367746460911
"105",1188251,1.05,15470,16919.03,0.0130191348460889,1.09366709760827
"106",1188251,1.06,15341,16928.59,0.0129105719246186,1.10348673489342
"107",1188251,1.07,15169,16889.19,0.0127658213626582,1.11340167446766
"108",1188251,1.08,15085,16942.48,0.0126951292277473,1.12313423931057
"109",1188251,1.09,14922,16907.3,0.0125579528230988,1.13304516820802
"110",1188251,1.1,14826,16943.28,0.0124771618117721,1.14280857952246
"111",1188251,1.11,14780,17033.39,0.012438449452178,1.15246211096076
"112",1188251,1.12,14740,17129.63,0.0124047865307919,1.16211872455902
"113",1188251,1.13,14526,17026.78,0.0122246899013761,1.17215888751205
"114",1188251,1.14,14462,17092.23,0.0121708292271582,1.18187180196377
"115",1188251,1.15,14390,17147.17,0.0121102359686632,1.19160319666435
"116",1188251,1.16,14305,17185.58,0.0120387022607176,1.20136875218455
"117",1188251,1.17,14123,17107.85,0.0118855359684107,1.21134673936133
"118",1188251,1.18,14084,17196.78,0.0118527146200592,1.22101533655212
