"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",17810,0.01,5635,2154.69,0.316395283548568,0.382376220053239
"2",17810,0.02,5537,2164.42,0.310892756878158,0.390901210041539
"3",17810,0.03,5413,2171.81,0.30393037619315,0.4012211343063
"4",17810,0.04,5312,2179.83,0.298259404828748,0.410359563253012
"5",17810,0.05,5114,2180.61,0.287142055025267,0.42640007821666
"6",17810,0.06,5026,2185.96,0.282201010668164,0.434930362116992
"7",17810,0.07,4887,2186.66,0.274396406513195,0.44744423981993
"8",17810,0.08,4725,2185.53,0.265300393037619,0.462546031746032
"9",17810,0.09,4633,2188.77,0.260134755755194,0.472430390675588
"10",17810,0.1,4614,2198.62,0.25906793935991,0.476510619852622
"11",17810,0.11,4579,2206.56,0.257102751263335,0.481886874863507
"12",17810,0.12,4540,2214.12,0.254912970241437,0.487691629955947
"13",17810,0.13,4462,2215.73,0.250533408197642,0.496577767817122
"14",17810,0.14,4447,2225.63,0.249691184727681,0.500478974589611
"15",17810,0.15,4427,2234.65,0.248568220101067,0.50477750169415
"16",17810,0.16,4419,2245.95,0.248119034250421,0.508248472505092
"17",17810,0.17,4400,2255.38,0.247052217855138,0.512586363636364
"18",17810,0.18,4389,2266.1,0.2464345873105,0.516313511050353
"19",17810,0.19,4382,2277.6,0.246041549691185,0.519762665449566
"20",17810,0.2,4373,2289.35,0.245536215609208,0.52351932311914
"21",17810,0.21,4326,2292.85,0.242897248736665,0.530016181229773
"22",17810,0.22,4317,2304.22,0.242391914654688,0.533754922399815
"23",17810,0.23,4308,2315.58,0.241886580572712,0.537506963788301
"24",17810,0.24,4306,2328.87,0.241774284110051,0.540843009753832
"25",17810,0.25,4290,2339.05,0.240875912408759,0.5452331002331
"26",17810,0.26,4272,2348.91,0.239865244244806,0.549838483146067
"27",17810,0.27,4241,2355.12,0.238124649073554,0.555321858052346
"28",17810,0.28,4223,2364.86,0.237113980909601,0.55999526403031
"29",17810,0.29,4202,2373.38,0.235934868051656,0.564821513564969
"30",17810,0.3,4192,2385.58,0.235373385738349,0.569079198473282
"31",17810,0.31,4129,2380.66,0.231836047164514,0.576570598207798
"32",17810,0.32,4118,2392.61,0.231218416619876,0.581012627489072
"33",17810,0.33,4082,2395.99,0.229197080291971,0.586964723174914
"34",17810,0.34,4076,2409.31,0.228860190903987,0.591096663395486
"35",17810,0.35,4070,2422.87,0.228523301516002,0.595299754299754
"36",17810,0.36,4052,2433.3,0.227512633352049,0.600518262586377
"37",17810,0.37,3998,2429.82,0.224480628860191,0.60775887943972
"38",17810,0.38,3987,2443.15,0.223862998315553,0.612779031853524
"39",17810,0.39,3866,2412.57,0.217069062324537,0.624048111743404
"40",17810,0.4,3841,2420.52,0.215665356541269,0.630179640718563
"41",17810,0.41,3658,2361.98,0.205390230207748,0.645702569710224
"42",17810,0.42,3635,2368.78,0.204098820887142,0.651658872077029
"43",17810,0.43,3619,2380.09,0.203200449185851,0.65766510085659
"44",17810,0.44,3528,2357.65,0.198090960134756,0.668268140589569
"45",17810,0.45,3508,2366.17,0.196967995508141,0.674506841505131
"46",17810,0.46,3495,2377.68,0.196238068500842,0.680309012875537
