"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",6332,0.01,2347,1561.96,0.37065698041693,0.665513421389007
"2",6332,0.02,2328,1566.07,0.367656348704991,0.672710481099656
"3",6332,0.03,2299,1569.59,0.363076437144662,0.682727272727273
"4",6332,0.04,2283,1573.67,0.360549589387239,0.689299167761717
"5",6332,0.05,2223,1575,0.351073910296905,0.708502024291498
"6",6332,0.06,2194,1577.41,0.346493998736576,0.718965360072926
"7",6332,0.07,2180,1580.81,0.344283006948831,0.725142201834862
"8",6332,0.08,2146,1582.52,0.338913455464308,0.737427772600186
"9",6332,0.09,2124,1584.85,0.335439039797852,0.746162900188324
"10",6332,0.1,2116,1588.41,0.334175615919141,0.750666351606805
"11",6332,0.11,2105,1591.6,0.332438408085913,0.756104513064133
"12",6332,0.12,2100,1595.78,0.331648768161718,0.759895238095238
"13",6332,0.13,2048,1593.41,0.323436512950095,0.7780322265625
"14",6332,0.14,2045,1597.49,0.322962728995578,0.781168704156479
"15",6332,0.15,2033,1600.16,0.321067593177511,0.78709296606001
"16",6332,0.16,2027,1603.79,0.320120025268478,0.791213616181549
"17",6332,0.17,2007,1604.98,0.316961465571699,0.799691081215745
"18",6332,0.18,1998,1607.92,0.315540113708149,0.804764764764765
"19",6332,0.19,1991,1611.18,0.314434617814277,0.809231541938724
"20",6332,0.2,1988,1615.56,0.31396083385976,0.812655935613682
"21",6332,0.21,1924,1606.59,0.303853442830069,0.835025987525987
"22",6332,0.22,1915,1609.04,0.302432090966519,0.840229765013055
"23",6332,0.23,1905,1611.16,0.30085281111813,0.845753280839895
"24",6332,0.24,1896,1613.64,0.29943145925458,0.851075949367089
"25",6332,0.25,1865,1610.26,0.294535691724574,0.86341018766756
"26",6332,0.26,1863,1614.13,0.294219835754896,0.866414385399893
"27",6332,0.27,1857,1617.03,0.293272267845862,0.870775444264943
"28",6332,0.28,1844,1617.97,0.291219204042956,0.877424078091106
"29",6332,0.29,1823,1616.32,0.287902716361339,0.886626439934175
"30",6332,0.3,1819,1619.64,0.287271004421984,0.890401319406267
"31",6332,0.31,1808,1620.68,0.285533796588756,0.896393805309735
"32",6332,0.32,1803,1623.83,0.284744156664561,0.900626733222407
"33",6332,0.33,1780,1620.8,0.281111813013266,0.910561797752809
"34",6332,0.34,1770,1622,0.279532533164877,0.91638418079096
"35",6332,0.35,1767,1625.59,0.27905874921036,0.919971703452179
"36",6332,0.36,1763,1629.21,0.278427037271004,0.924112308564946
"37",6332,0.37,1731,1622.18,0.273373341756159,0.937134604274986
"38",6332,0.38,1730,1626.77,0.27321541377132,0.940329479768786
"39",6332,0.39,1715,1625.83,0.270846493998737,0.94800583090379
"40",6332,0.4,1711,1629.39,0.270214782059381,0.952302746931619
"41",6332,0.41,1697,1628.73,0.268003790271636,0.959770182675309
"42",6332,0.42,1695,1633.06,0.267687934301958,0.963457227138643
"43",6332,0.43,1691,1636.75,0.267056222362603,0.967918391484329
"44",6332,0.44,1668,1631.95,0.263423878711308,0.978387290167866
"45",6332,0.45,1647,1627.67,0.26010739102969,0.98826350941105
"46",6332,0.46,1643,1631.01,0.259475679090335,0.992702373706634
"47",6332,0.47,1638,1633.86,0.25868603916614,0.997472527472527
"48",6332,0.48,1635,1637.7,0.258212255211623,1.00165137614679
"49",6332,0.49,1626,1638.54,0.256790903348073,1.00771217712177
"50",6332,0.5,1622,1641.94,0.256159191408718,1.0122934648582
"51",6332,0.51,1619,1645.86,0.255685407454201,1.01659048795553
"52",6332,0.52,1616,1649.88,0.255211623499684,1.02096534653465
"53",6332,0.53,1605,1649.59,0.253474415666456,1.02778193146417
"54",6332,0.54,1597,1650.99,0.252210991787745,1.03380713838447
"55",6332,0.55,1588,1651.74,0.250789639924195,1.04013853904282
"56",6332,0.56,1581,1653.59,0.249684144030322,1.04591397849462
"57",6332,0.57,1572,1654.23,0.248262792166772,1.05230916030534
"58",6332,0.58,1565,1655.93,0.2471572962729,1.05810223642173
"59",6332,0.59,1563,1660.6,0.246841440303222,1.06244401791427
"60",6332,0.6,1562,1666.17,0.246683512318383,1.06669014084507
"61",6332,0.61,1546,1662.45,0.24415666456096,1.0753234152652
"62",6332,0.62,1539,1664.1,0.243051168667088,1.0812865497076
"63",6332,0.63,1539,1670.17,0.243051168667088,1.08523066926576
"64",6332,0.64,1534,1673.47,0.242261528742893,1.09091916558018
"65",6332,0.65,1486,1648.39,0.234680985470625,1.1092799461642
"66",6332,0.66,1479,1649.85,0.233575489576753,1.11551724137931
