"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",5091,0.01,436,26.94,0.0856413278334315,0.0617889908256881
"2",5091,0.02,399,29.23,0.0783736004714202,0.0732581453634085
"3",5091,0.03,369,31.27,0.0724808485562758,0.0847425474254743
"4",5091,0.04,326,32.12,0.0640345708112355,0.0985276073619632
"5",5091,0.05,316,34.1,0.0620703201728541,0.107911392405063
"6",5091,0.06,308,36.05,0.0604989196621489,0.117045454545455
"7",5091,0.07,290,37.07,0.0569632685130623,0.127827586206897
"8",5091,0.08,274,37.95,0.0538204674916519,0.138503649635037
"9",5091,0.09,257,38.42,0.0504812414064035,0.149494163424125
"10",5091,0.1,256,40.33,0.0502848163425653,0.1575390625
"11",5091,0.11,256,42.35,0.0502848163425653,0.1654296875
"12",5091,0.12,254,44.13,0.049891966214889,0.173740157480315
"13",5091,0.13,252,45.88,0.0494991160872127,0.182063492063492
"14",5091,0.14,251,47.74,0.0493026910233746,0.190199203187251
"15",5091,0.15,233,46.86,0.045767039874288,0.201115879828326
"16",5091,0.16,230,48.24,0.0451777646827735,0.209739130434783
"17",5091,0.17,218,47.99,0.0428206639167158,0.220137614678899
"18",5091,0.18,210,48.26,0.0412492634060106,0.229809523809524
"19",5091,0.19,208,49.58,0.0408564132783343,0.238365384615385
"20",5091,0.2,206,50.93,0.040463563150658,0.247233009708738
"21",5091,0.21,193,49.83,0.0379100373207621,0.258186528497409
"22",5091,0.22,188,50.32,0.0369279120015714,0.267659574468085
"23",5091,0.23,186,51.45,0.0365350618738951,0.276612903225806
"24",5091,0.24,185,52.8,0.036338636810057,0.285405405405405
"25",5091,0.25,183,53.87,0.0359457866823807,0.294371584699454
"26",5091,0.26,180,54.65,0.0353565114908662,0.303611111111111
"27",5091,0.27,173,54.26,0.0339815360439992,0.31364161849711
"28",5091,0.28,170,54.9,0.0333922608524848,0.322941176470588
"29",5091,0.29,170,56.39,0.0333922608524848,0.331705882352941
"30",5091,0.3,169,57.57,0.0331958357886466,0.340650887573965
