"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",3694,0.01,856,297.45,0.231727125067677,0.347488317757009
"2",3694,0.02,813,299.42,0.220086626962642,0.368290282902829
"3",3694,0.03,782,301.23,0.211694639956687,0.385204603580563
"4",3694,0.04,752,302.73,0.203573362208988,0.402566489361702
"5",3694,0.05,722,303.69,0.195452084461289,0.420623268698061
"6",3694,0.06,717,305.9,0.194098538170005,0.426638772663877
"7",3694,0.07,706,307.63,0.191120736329182,0.435736543909348
"8",3694,0.08,692,308.97,0.18733080671359,0.446488439306358
"9",3694,0.09,685,310.77,0.185435841905793,0.453678832116788
"10",3694,0.1,680,312.75,0.18408229561451,0.459926470588235
"11",3694,0.11,673,314.42,0.182187330806714,0.467191679049034
"12",3694,0.12,672,317.27,0.181916621548457,0.472127976190476
"13",3694,0.13,585,308.16,0.15836491608013,0.526769230769231
"14",3694,0.14,585,310.45,0.15836491608013,0.530683760683761
"15",3694,0.15,578,311.65,0.156469951272334,0.539186851211073
"16",3694,0.16,576,313.69,0.15592853275582,0.544600694444444
"17",3694,0.17,573,315.54,0.15511640498105,0.550680628272251
"18",3694,0.18,570,317.36,0.15430427720628,0.556771929824561
"19",3694,0.19,567,319.17,0.153492149431511,0.562910052910053
"20",3694,0.2,562,320.57,0.152138603140227,0.570409252669039
"21",3694,0.21,555,321.46,0.150243638332431,0.579207207207207
"22",3694,0.22,555,323.85,0.150243638332431,0.583513513513514
"23",3694,0.23,554,326,0.149972929074174,0.588447653429603
"24",3694,0.24,552,327.91,0.149431510557661,0.594039855072464
"25",3694,0.25,549,329.56,0.148619382782891,0.600291438979964
"26",3694,0.26,546,331.17,0.147807255008121,0.606538461538461
"27",3694,0.27,543,332.77,0.146995127233351,0.612836095764273
"28",3694,0.28,541,334.68,0.146453708716838,0.618632162661737
"29",3694,0.29,537,336.05,0.145370871683812,0.625791433891992
"30",3694,0.3,530,336.48,0.143475906876015,0.634867924528302
"31",3694,0.31,528,338.38,0.142934488359502,0.640871212121212
"32",3694,0.32,527,340.7,0.142663779101245,0.646489563567363
"33",3694,0.33,519,340.65,0.140498105035192,0.65635838150289
"34",3694,0.34,503,337.66,0.136166756903086,0.671292246520875
"35",3694,0.35,495,337.24,0.134001082837033,0.681292929292929
"36",3694,0.36,492,338.58,0.133188955062263,0.688170731707317
"37",3694,0.39,487,343.87,0.13183540877098,0.706098562628337
"38",3694,0.4,479,343.16,0.129669734704927,0.716409185803758
"39",3694,0.41,450,333.51,0.121819166215485,0.741133333333333
"40",3694,0.42,444,333.21,0.120194910665945,0.750472972972973
"41",3694,0.43,441,334.14,0.119382782891175,0.757687074829932
"42",3694,0.44,437,334.59,0.118299945858148,0.765652173913044
"43",3694,0.45,430,333.59,0.116404981050352,0.775790697674419
"44",3694,0.46,429,335.27,0.116134271792095,0.781515151515151
"45",3694,0.47,427,336.47,0.115592853275582,0.787985948477752
"46",3694,0.48,425,337.76,0.115051434759069,0.794729411764706
"47",3694,0.49,415,335.02,0.112344342176502,0.807277108433735
"48",3694,0.5,415,337.21,0.112344342176502,0.81255421686747
"49",3694,0.51,415,339.41,0.112344342176502,0.817855421686747
"50",3694,0.52,414,341.1,0.112073632918246,0.823913043478261
"51",3694,0.53,412,342.24,0.111532214401733,0.830679611650485
"52",3694,0.54,412,344.51,0.111532214401733,0.836189320388349
"53",3694,0.56,411,348.49,0.111261505143476,0.847907542579075
"54",3694,0.57,408,349.02,0.110449377368706,0.855441176470588
"55",3694,0.59,407,352.95,0.110178668110449,0.867199017199017
"56",3694,0.6,404,353.45,0.109366540335679,0.874876237623762
"57",3694,0.61,401,353.9,0.10855441256091,0.882543640897755
"58",3694,0.62,401,356.19,0.10855441256091,0.888254364089776
"59",3694,0.63,400,357.85,0.108283703302653,0.894625
"60",3694,0.64,399,359.54,0.108012994044396,0.901102756892231
"61",3694,0.65,389,355.28,0.10530590146183,0.913316195372751
"62",3694,0.66,389,357.53,0.10530590146183,0.919100257069409
"63",3694,0.67,389,359.79,0.10530590146183,0.924910025706941
"64",3694,0.68,388,361.4,0.105035192203573,0.931443298969072
"65",3694,0.71,383,364.68,0.10368164591229,0.952167101827676
"66",3694,0.72,383,366.96,0.10368164591229,0.958120104438642
"67",3694,0.74,378,367.78,0.102328099621007,0.972962962962963
"68",3694,0.75,377,369.26,0.10205739036275,0.97946949602122
"69",3694,0.76,376,370.78,0.101786681104494,0.986117021276596
"70",3694,0.77,369,367.61,0.0998917162966974,0.996233062330623
"71",3694,0.78,369,369.84,0.0998917162966974,1.00227642276423
"72",3694,0.79,368,371.27,0.0996210070384407,1.00888586956522
"73",3694,0.8,367,372.99,0.0993502977801841,1.01632152588556
"74",3694,0.81,351,362.42,0.095018949648078,1.03253561253561
"75",3694,0.82,346,360.67,0.0936654033567948,1.04239884393064
"76",3694,0.83,346,363.02,0.0936654033567948,1.04919075144509
"77",3694,0.84,345,364.52,0.0933946940985382,1.05657971014493
"78",3694,0.85,344,366,0.0931239848402815,1.06395348837209
"79",3694,0.86,343,367.47,0.0928532755820249,1.07134110787172
"80",3694,0.88,343,372.15,0.0928532755820249,1.08498542274052
"81",3694,0.89,341,372.76,0.0923118570655116,1.09313782991202
"82",3694,0.9,325,360.61,0.0879805089334055,1.10956923076923
"83",3694,0.91,321,359.18,0.086897671900379,1.11894080996885
"84",3694,0.92,320,360.47,0.0866269626421224,1.12646875
"85",3694,0.93,317,359.87,0.0858148348673525,1.13523659305994
"86",3694,0.94,317,362.06,0.0858148348673525,1.14214511041009
"87",3694,0.95,316,363.3,0.0855441256090958,1.1496835443038
"88",3694,0.96,316,365.49,0.0855441256090958,1.15661392405063
"89",3694,0.98,314,367.9,0.0850027070925826,1.17165605095541
"90",3694,0.99,313,369.09,0.0847319978343259,1.17920127795527
"91",3694,1,310,368.26,0.083919870059556,1.18793548387097
"92",3694,1.01,308,368.4,0.0833784515430428,1.1961038961039
"93",3694,1.02,306,368.5,0.0828370330265295,1.20424836601307
"94",3694,1.03,303,367.61,0.0820249052517596,1.21323432343234
"95",3694,1.04,286,351.97,0.0774228478613969,1.23066433566434
"96",3694,1.06,285,354.98,0.0771521386031402,1.24554385964912
"97",3694,1.07,284,355.94,0.0768814293448836,1.25330985915493
"98",3694,1.08,284,357.98,0.0768814293448836,1.26049295774648
"99",3694,1.1,281,358.73,0.0760693015701137,1.27661921708185
"100",3694,1.11,280,359.63,0.0757985923118571,1.28439285714286
"101",3694,1.12,279,360.55,0.0755278830536004,1.29229390681004
"102",3694,1.13,276,359.22,0.0747157552788305,1.30152173913043
"103",3694,1.14,257,339.43,0.0695722793719545,1.32073929961089
"104",3694,1.15,254,337.82,0.0687601515971846,1.33
"105",3694,1.16,253,338.53,0.068489442338928,1.33806324110672
"106",3694,1.17,249,335.68,0.0674066053059015,1.3481124497992
"107",3694,1.2,246,337.61,0.0665944775311316,1.37239837398374
