"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",1936,0.01,508,27.83,0.262396694214876,0.0547834645669291
"2",1936,0.02,486,30.77,0.25103305785124,0.0633127572016461
"3",1936,0.03,457,33.18,0.236053719008264,0.0726039387308534
"4",1936,0.04,440,35.84,0.227272727272727,0.0814545454545455
"5",1936,0.05,405,37.12,0.209194214876033,0.0916543209876543
"6",1936,0.06,395,39.53,0.204028925619835,0.100075949367089
"7",1936,0.07,367,40.34,0.189566115702479,0.10991825613079
"8",1936,0.08,330,39.85,0.170454545454545,0.120757575757576
"9",1936,0.09,301,39.45,0.15547520661157,0.131063122923588
"10",1936,0.1,288,40.25,0.148760330578512,0.139756944444444
"11",1936,0.11,287,42.36,0.148243801652893,0.147595818815331
"12",1936,0.12,256,40.61,0.132231404958678,0.1586328125
"13",1936,0.13,232,39.23,0.119834710743802,0.169094827586207
"14",1936,0.14,229,40.6,0.118285123966942,0.177292576419214
"15",1936,0.15,205,38.67,0.105888429752066,0.188634146341463
"16",1936,0.16,172,34.76,0.0888429752066116,0.202093023255814
"17",1936,0.17,162,34.34,0.0836776859504132,0.211975308641975
"18",1936,0.18,155,34.3,0.0800619834710744,0.221290322580645
"19",1936,0.19,155,35.52,0.0800619834710744,0.229161290322581
"20",1936,0.2,150,35.75,0.0774793388429752,0.238333333333333
"21",1936,0.21,131,32.81,0.0676652892561983,0.250458015267176
"22",1936,0.22,128,33.18,0.0661157024793388,0.25921875
"23",1936,0.23,127,34.01,0.065599173553719,0.267795275590551
"24",1936,0.24,125,34.62,0.0645661157024793,0.27696
"25",1936,0.26,114,33.83,0.0588842975206612,0.296754385964912
"26",1936,0.27,111,33.97,0.0573347107438017,0.306036036036036
"27",1936,0.28,103,32.63,0.053202479338843,0.316796116504854
"28",1936,0.29,101,32.93,0.0521694214876033,0.326039603960396
"29",1936,0.3,100,33.51,0.0516528925619835,0.3351
"30",1936,0.31,98,33.78,0.0506198347107438,0.34469387755102
"31",1936,0.32,96,34.03,0.0495867768595041,0.354479166666667
"32",1936,0.33,88,32.2,0.0454545454545455,0.365909090909091
"33",1936,0.34,87,32.66,0.0449380165289256,0.375402298850575
"34",1936,0.35,85,32.74,0.0439049586776859,0.385176470588235
"35",1936,0.36,84,33.16,0.0433884297520661,0.394761904761905
"36",1936,0.37,79,32.04,0.0408057851239669,0.405569620253165
"37",1936,0.38,77,31.99,0.0397727272727273,0.415454545454545
"38",1936,0.39,76,32.3,0.0392561983471074,0.425
"39",1936,0.4,74,32.18,0.0382231404958678,0.434864864864865
"40",1936,0.41,62,27.82,0.0320247933884297,0.448709677419355
"41",1936,0.44,61,29.05,0.0315082644628099,0.476229508196721
"42",1936,0.45,58,28.22,0.0299586776859504,0.486551724137931
"43",1936,0.46,57,28.27,0.0294421487603306,0.495964912280702
"44",1936,0.47,55,27.83,0.0284090909090909,0.506
"45",1936,0.48,54,27.85,0.0278925619834711,0.515740740740741
"46",1936,0.49,54,28.36,0.0278925619834711,0.525185185185185
"47",1936,0.51,52,28.34,0.0268595041322314,0.545
"48",1936,0.54,50,28.71,0.0258264462809917,0.5742
"49",1936,0.55,49,28.62,0.0253099173553719,0.584081632653061
"50",1936,0.56,47,27.94,0.0242768595041322,0.594468085106383
"51",1936,0.57,46,27.8,0.0237603305785124,0.604347826086956
"52",1936,0.58,45,27.64,0.0232438016528926,0.614222222222222
"53",1936,0.59,43,26.86,0.0222107438016529,0.624651162790698
"54",1936,0.6,42,26.65,0.0216942148760331,0.634523809523809
"55",1936,0.62,40,26.17,0.0206611570247934,0.65425
"56",1936,0.63,39,25.9,0.0201446280991736,0.664102564102564
"57",1936,0.64,37,24.96,0.0191115702479339,0.674594594594595
"58",1936,0.66,34,23.63,0.0175619834710744,0.695
"59",1936,0.73,29,22.11,0.0149793388429752,0.762413793103448
"60",1936,0.75,29,22.65,0.0149793388429752,0.781034482758621
"61",1936,0.77,28,22.42,0.0144628099173554,0.800714285714286
"62",1936,0.78,28,22.69,0.0144628099173554,0.810357142857143
"63",1936,0.79,27,22.16,0.0139462809917355,0.820740740740741
"64",1936,0.82,26,22.11,0.0134297520661157,0.850384615384615
"65",1936,0.88,25,22.72,0.0129132231404959,0.9088
"66",1936,0.91,24,22.52,0.012396694214876,0.938333333333333
"67",1936,0.96,23,22.7,0.0118801652892562,0.98695652173913
"68",1936,1,20,20.55,0.0103305785123967,1.0275
"69",1936,1.13,18,20.74,0.00929752066115703,1.15222222222222
"70",1936,1.24,17,21.36,0.00878099173553719,1.25647058823529
"71",1936,1.36,15,20.55,0.00774793388429752,1.37
"72",1936,1.64,15,24.75,0.00774793388429752,1.65
"73",1936,1.69,14,23.8,0.00723140495867769,1.7
"74",1936,1.76,13,23.01,0.00671487603305785,1.77
"75",1936,1.94,12,23.4,0.00619834710743802,1.95
"76",1936,2.01,10,20.2,0.00516528925619835,2.02
"77",1936,2.28,9,20.61,0.00464876033057851,2.29
"78",1936,2.32,7,16.31,0.00361570247933884,2.33
"79",1936,2.4,6,14.46,0.00309917355371901,2.41
"80",1936,9.16,3,27.51,0.0015495867768595,9.17
"81",1936,9.28,2,18.58,0.00103305785123967,9.29
