"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",3503,0.01,372,20.92,0.106194690265487,0.056236559139785
"2",3503,0.02,350,23.21,0.0999143591207536,0.0663142857142857
"3",3503,0.03,340,25.65,0.097059663145875,0.0754411764705882
"4",3503,0.04,304,26.64,0.0867827576363117,0.0876315789473684
"5",3503,0.05,284,27.9,0.0810733656865544,0.0982394366197183
"6",3503,0.06,280,29.92,0.0799314872966029,0.106857142857143
"7",3503,0.07,270,31.4,0.0770767913217242,0.116296296296296
"8",3503,0.08,263,32.99,0.0750785041393092,0.125437262357414
"9",3503,0.09,237,32.56,0.0676562946046246,0.137383966244726
"10",3503,0.1,213,31.88,0.0608050242649158,0.149671361502347
"11",3503,0.11,207,32.95,0.0590922066799886,0.159178743961353
"12",3503,0.12,198,33.56,0.0565229803025978,0.16949494949495
"13",3503,0.13,154,29.1,0.0439623180131316,0.188961038961039
"14",3503,0.14,153,30.21,0.0436768484156437,0.197450980392157
"15",3503,0.15,146,30.35,0.0416785612332287,0.207876712328767
"16",3503,0.16,144,31.23,0.0411076220382529,0.216875
"17",3503,0.17,131,30.09,0.0373965172709106,0.22969465648855
"18",3503,0.19,127,31.44,0.0362546388809592,0.24755905511811
"19",3503,0.2,124,31.9,0.0353982300884956,0.257258064516129
"20",3503,0.21,121,32.3,0.034541821296032,0.266942148760331
"21",3503,0.24,119,34.9,0.0339708821010562,0.29327731092437
"22",3503,0.25,115,34.88,0.0328290037111048,0.303304347826087
"23",3503,0.26,113,35.33,0.032258064516129,0.312654867256637
"24",3503,0.28,110,36.4,0.0314016557236654,0.330909090909091
"25",3503,0.31,109,38.92,0.0311161861261776,0.357064220183486
"26",3503,0.32,102,37.56,0.0291178989437625,0.368235294117647
"27",3503,0.35,97,38.4,0.0276905509563232,0.395876288659794
"28",3503,0.36,96,38.86,0.0274050813588353,0.404791666666667
"29",3503,0.38,95,40.11,0.0271196117613474,0.422210526315789
"30",3503,0.4,93,40.93,0.0265486725663717,0.44010752688172
"31",3503,0.41,85,38.39,0.0242649157864687,0.451647058823529
"32",3503,0.42,82,37.84,0.0234085069940051,0.461463414634146
"33",3503,0.44,81,38.81,0.0231230373965173,0.479135802469136
"34",3503,0.45,76,37.22,0.0216956894090779,0.489736842105263
"35",3503,0.46,75,37.41,0.0214102198115901,0.4988
"36",3503,0.48,74,38.22,0.0211247502141022,0.516486486486486
"37",3503,0.49,71,37.36,0.0202683414216386,0.526197183098592
"38",3503,0.5,70,37.46,0.0199828718241507,0.535142857142857
"39",3503,0.51,69,37.55,0.0196974022266629,0.544202898550725
"40",3503,0.52,69,38.15,0.0196974022266629,0.552898550724638
"41",3503,0.55,67,38.85,0.0191264630316871,0.579850746268657
"42",3503,0.59,67,41.25,0.0191264630316871,0.615671641791045
"43",3503,0.6,66,41.24,0.0188409934341993,0.624848484848485
"44",3503,0.62,65,41.8,0.0185555238367114,0.643076923076923
"45",3503,0.64,65,42.98,0.0185555238367114,0.661230769230769
"46",3503,0.65,64,42.92,0.0182700542392235,0.670625
"47",3503,0.66,63,42.84,0.0179845846417357,0.68
"48",3503,0.68,62,43.31,0.0176991150442478,0.698548387096774
"49",3503,0.69,60,42.48,0.0171281758492721,0.708
"50",3503,0.7,54,38.77,0.0154153582643448,0.717962962962963
"51",3503,0.72,53,39.03,0.015129888666857,0.736415094339622
"52",3503,0.73,53,39.53,0.015129888666857,0.745849056603774
"53",3503,0.79,52,41.74,0.0148444190693691,0.802692307692308
"54",3503,0.8,52,42.25,0.0148444190693691,0.8125
"55",3503,0.84,45,38.34,0.012846131886954,0.852
"56",3503,0.89,43,38.74,0.0122751926919783,0.90093023255814
"57",3503,0.94,42,39.9,0.0119897230944904,0.95
"58",3503,0.96,42,40.74,0.0119897230944904,0.97
"59",3503,1,41,41.41,0.0117042534970026,1.01
"60",3503,1.04,39,40.95,0.0111333143020268,1.05
"61",3503,1.2,37,44.77,0.0105623751070511,1.21
"62",3503,1.24,36,45,0.0102769055095632,1.25
"63",3503,1.29,33,42.9,0.00942049671709963,1.3
"64",3503,1.32,32,42.56,0.00913502711961176,1.33
"65",3503,1.37,28,38.64,0.00799314872966029,1.38
"66",3503,1.44,27,39.15,0.00770767913217242,1.45
"67",3503,1.51,26,39.52,0.00742220953468456,1.52
"68",3503,1.56,24,37.68,0.00685127033970882,1.57
"69",3503,1.59,23,36.8,0.00656580074222095,1.6
"70",3503,1.62,22,35.86,0.00628033114473309,1.63
"71",3503,1.64,21,34.65,0.00599486154724522,1.65
"72",3503,1.68,20,33.8,0.00570939194975735,1.69
"73",3503,1.72,19,32.87,0.00542392235226948,1.73
"74",3503,1.76,18,31.86,0.00513845275478162,1.77
"75",3503,1.91,17,32.64,0.00485298315729375,1.92
"76",3503,1.94,15,29.25,0.00428204396231801,1.95
"77",3503,2.03,14,28.56,0.00399657436483015,2.04
"78",3503,2.06,13,26.91,0.00371110476734228,2.07
"79",3503,2.09,12,25.2,0.00342563516985441,2.1
"80",3503,2.28,10,22.9,0.00285469597487868,2.29
"81",3503,3.04,9,27.45,0.00256922637739081,3.05
"82",3503,3.2,8,25.68,0.00228375677990294,3.21
"83",3503,4,7,28.07,0.00199828718241507,4.01
"84",3503,4.8,6,28.86,0.00171281758492721,4.81
"85",3503,9.37,3,28.14,0.000856408792463603,9.38
"86",3503,10.55,2,21.12,0.000570939194975735,10.56
