"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",52308,0.01,16803,2221.28,0.3212319339298,0.132195441290246
"2",52308,0.02,16056,2266.1,0.306951135581555,0.141137269556552
"3",52308,0.03,15263,2306.14,0.291790930641584,0.151093494070628
"4",52308,0.04,14582,2349.57,0.27877188957712,0.161128103140859
"5",52308,0.05,13465,2359.84,0.257417603425862,0.175257333828444
"6",52308,0.06,12063,2332.61,0.230614819912824,0.193368979524165
"7",52308,0.07,11632,2360.28,0.222375162499044,0.20291265474553
"8",52308,0.08,11191,2383.16,0.213944329739237,0.212953266017335
"9",52308,0.09,10661,2393.68,0.203812036399786,0.224526779851796
"10",52308,0.1,10179,2400.61,0.194597384721266,0.23583947342568
"11",52308,0.11,10048,2441.08,0.192092987688308,0.242941878980892
"12",52308,0.12,9935,2485.34,0.189932706278198,0.250160040261701
"13",52308,0.13,9520,2485.96,0.181998929418062,0.26113025210084
"14",52308,0.14,9422,2527.16,0.180125411026994,0.268219061770325
"15",52308,0.15,9264,2557.5,0.177104840559761,0.276068652849741
"16",52308,0.16,9198,2601.67,0.175843083275981,0.282851706892803
"17",52308,0.17,9027,2626.7,0.172573984858913,0.290982607732359
"18",52308,0.18,8872,2652.29,0.169610766995488,0.298950631199279
"19",52308,0.19,8780,2688.24,0.167851953812036,0.306177676537585
"20",52308,0.2,8690,2725.2,0.16613137569779,0.313601841196778
"21",52308,0.21,8435,2725.01,0.161256404374092,0.32305986959099
"22",52308,0.22,8263,2739.65,0.157968188422421,0.331556335471378
"23",52308,0.23,8179,2772.44,0.156362315515791,0.338970534295146
"24",52308,0.24,8127,2812.81,0.155368203716449,0.346106804478898
"25",52308,0.25,7962,2823.25,0.152213810506997,0.3545905551369
"26",52308,0.26,7924,2865.18,0.151487344192093,0.3615825340737
"27",52308,0.27,7859,2899.15,0.150244704442915,0.368895533782924
"28",52308,0.28,7812,2939.68,0.149346180316586,0.376303123399898
"29",52308,0.29,6717,2665.36,0.128412479926589,0.396808098853655
"30",52308,0.3,6671,2694.78,0.127533073334863,0.403954429620746
"31",52308,0.31,6629,2724.83,0.126730136881548,0.411046915070146
"32",52308,0.32,6577,2752.32,0.125736025082205,0.418476509046678
"33",52308,0.33,6272,2693.12,0.11990517702837,0.429387755102041
"34",52308,0.34,6207,2712.2,0.118662537279192,0.436958272917674
"35",52308,0.35,6135,2727.94,0.117286074787795,0.444651996740016
"36",52308,0.36,6047,2739.2,0.115603731742754,0.452984951215479
"37",52308,0.37,5400,2536.54,0.103234686854783,0.46972962962963
"38",52308,0.38,5350,2554.13,0.102278810124646,0.477407476635514
"39",52308,0.39,5320,2578.93,0.101705284086564,0.484761278195489
"40",52308,0.4,5282,2601.7,0.10097881777166,0.492559636501325
"41",52308,0.41,4916,2486.34,0.0939818001070582,0.505764849471115
"42",52308,0.42,4854,2495.9,0.0927965129616885,0.514194478780387
"43",52308,0.43,4528,2389.37,0.086564196681196,0.527687720848056
"44",52308,0.44,4220,2285.08,0.0806759960235528,0.541488151658768
"45",52308,0.45,4084,2254.03,0.0780760113175805,0.551917238001959
"46",52308,0.46,4041,2264.2,0.0772539573296628,0.560306854738926
"47",52308,0.47,4006,2277.5,0.0765848436185669,0.568522216674987
"48",52308,0.48,3968,2289.08,0.0758583773036629,0.576885080645161
"49",52308,0.49,3881,2275.7,0.0741951517932248,0.586369492398866
"50",52308,0.5,3802,2264.97,0.0726848665596085,0.595731194108364
"51",52308,0.51,3730,2256.49,0.0713084040682114,0.604957104557641
"52",52308,0.52,3690,2264.01,0.0705437026841019,0.613552845528455
"53",52308,0.53,3535,2208.82,0.0675804848206775,0.624842998585573
"54",52308,0.54,3480,2206.01,0.066529020417527,0.63391091954023
"55",52308,0.55,3393,2184.29,0.0648657949070888,0.64376363100501
"56",52308,0.56,3366,2195.41,0.0643496214728149,0.652231134878194
"57",52308,0.57,3276,2169.7,0.0626290433585685,0.662301587301587
"58",52308,0.58,3234,2170.61,0.0618261069052535,0.671184291898578
"59",52308,0.59,3200,2175.57,0.0611761107287604,0.679865625
"60",52308,0.6,3183,2190.75,0.0608511126405139,0.688265786993402
"61",52308,0.61,3035,2124.49,0.0580217175193087,0.699996705107084
"62",52308,0.62,3011,2133.49,0.057562896688843,0.708565260710727
"63",52308,0.63,2989,2143.5,0.0571423109275828,0.717129474740716
"64",52308,0.64,2956,2146.25,0.0565114322856924,0.726065629228687
"65",52308,0.65,2809,2073.21,0.05370115469909,0.738059807760769
"66",52308,0.66,2777,2074.39,0.0530893935918024,0.746989557075981
"67",52308,0.67,2741,2072.33,0.0524011623461038,0.756048887267421
"68",52308,0.68,2703,2068.56,0.0516746960311998,0.765283018867925
"69",52308,0.69,2628,2038.2,0.0502408809359945,0.775570776255708
"70",52308,0.7,2610,2046.93,0.0498967653131452,0.784264367816092
"71",52308,0.71,2590,2053.92,0.0495144146210905,0.793019305019305
"72",52308,0.72,2577,2065.79,0.0492658866712549,0.80162592161428
"73",52308,0.73,2530,2052.35,0.0483673625449262,0.811205533596838
"74",52308,0.74,2514,2061.48,0.0480614819912824,0.82
"75",52308,0.75,2470,2049.07,0.0472203104687619,0.829582995951417
"76",52308,0.76,2455,2058.29,0.0469335474497209,0.83840733197556
"77",52308,0.77,2400,2036.04,0.0458820830465703,0.84835
"78",52308,0.78,2384,2043.59,0.0455762024929265,0.857210570469799
"79",52308,0.79,2348,2034.95,0.044887971247228,0.866673764906303
"80",52308,0.8,2313,2027.2,0.0442188575361321,0.876437527021185
"81",52308,0.81,2061,1840.88,0.0394012388162423,0.893197476952935
"82",52308,0.82,2033,1835.47,0.0388659478473656,0.902838170191835
"83",52308,0.83,2021,1843.07,0.0386365374321328,0.911959426026719
"84",52308,0.84,1972,1819.06,0.0376997782365986,0.922444219066937
"85",52308,0.85,1934,1803.61,0.0369733119216946,0.932580144777663
"86",52308,0.86,1917,1805.69,0.036648313833448,0.941935315597287
