"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",685,0.01,64,10.71,0.0934306569343066,0.16734375
"2",685,0.02,64,11,0.0934306569343066,0.171875
"3",685,0.03,64,11.29,0.0934306569343066,0.17640625
"4",685,0.04,63,11.54,0.091970802919708,0.183174603174603
"5",685,0.05,62,11.79,0.0905109489051095,0.190161290322581
"6",685,0.06,62,12.1,0.0905109489051095,0.195161290322581
"7",685,0.07,61,12.34,0.089051094890511,0.202295081967213
"8",685,0.08,61,12.68,0.089051094890511,0.207868852459016
"9",685,0.09,55,12.42,0.0802919708029197,0.225818181818182
"10",685,0.12,54,13.15,0.0788321167883212,0.243518518518519
"11",685,0.14,53,13.58,0.0773722627737226,0.25622641509434
"12",685,0.15,52,13.7,0.0759124087591241,0.263461538461538
"13",685,0.16,51,13.81,0.0744525547445255,0.27078431372549
"14",685,0.17,50,13.91,0.072992700729927,0.2782
"15",685,0.18,50,14.19,0.072992700729927,0.2838
"16",685,0.19,50,14.49,0.072992700729927,0.2898
"17",685,0.2,50,14.8,0.072992700729927,0.296
"18",685,0.21,48,14.68,0.0700729927007299,0.305833333333333
"19",685,0.24,48,15.6,0.0700729927007299,0.325
"20",685,0.27,48,16.58,0.0700729927007299,0.345416666666667
"21",685,0.28,47,16.65,0.0686131386861314,0.354255319148936
"22",685,0.29,44,16.11,0.0642335766423358,0.366136363636364
"23",685,0.3,41,15.52,0.0598540145985401,0.378536585365854
"24",685,0.31,40,15.52,0.0583941605839416,0.388
"25",685,0.32,39,15.5,0.0569343065693431,0.397435897435897
"26",685,0.4,38,17.49,0.0554744525547445,0.460263157894737
"27",685,0.42,36,17.21,0.0525547445255474,0.478055555555556
"28",685,0.43,35,17.05,0.0510948905109489,0.487142857142857
"29",685,0.44,35,17.32,0.0510948905109489,0.494857142857143
"30",685,0.48,34,17.92,0.0496350364963504,0.527058823529412
"31",685,0.52,29,16.35,0.0423357664233577,0.563793103448276
"32",685,0.55,28,16.46,0.0408759124087591,0.587857142857143
"33",685,0.62,28,18.03,0.0408759124087591,0.643928571428572
"34",685,0.67,28,19.28,0.0408759124087591,0.688571428571429
"35",685,0.68,27,18.85,0.0394160583941606,0.698148148148148
"36",685,0.72,24,17.66,0.035036496350365,0.735833333333333
"37",685,0.76,23,17.77,0.0335766423357664,0.772608695652174
"38",685,0.78,21,16.61,0.0306569343065693,0.790952380952381
"39",685,0.8,19,15.39,0.0277372262773723,0.81
"40",685,0.83,12,10.08,0.0175182481751825,0.84
"41",685,0.85,11,9.46,0.0160583941605839,0.86
"42",685,1.04,10,10.5,0.0145985401459854,1.05
"43",685,1.09,6,6.6,0.00875912408759124,1.1
"44",685,1.2,5,6.05,0.0072992700729927,1.21
"45",685,1.78,4,7.16,0.00583941605839416,1.79
"46",685,2.09,3,6.3,0.00437956204379562,2.1
"47",685,2.8,2,5.62,0.00291970802919708,2.81
"48",685,3.36,1,3.37,0.00145985401459854,3.37
