"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",2111,0.01,528,86.33,0.250118427285647,0.163503787878788
"2",2111,0.02,490,87.97,0.232117479867361,0.179530612244898
"3",2111,0.03,437,88.5,0.207010895310279,0.202517162471396
"4",2111,0.04,403,89.24,0.19090478446234,0.221439205955335
"5",2111,0.05,369,89.42,0.174798673614401,0.242330623306233
"6",2111,0.06,360,90.74,0.170535291331123,0.252055555555556
"7",2111,0.07,349,91.88,0.165324490762672,0.263266475644699
"8",2111,0.08,332,92.33,0.157271435338702,0.278102409638554
"9",2111,0.09,322,93.24,0.152534343912838,0.289565217391304
"10",2111,0.1,308,93.53,0.145902415916627,0.303668831168831
"11",2111,0.11,306,94.99,0.144954997631454,0.310424836601307
"12",2111,0.12,301,96.11,0.142586451918522,0.319302325581395
"13",2111,0.13,286,95.75,0.135480814779725,0.33479020979021
"14",2111,0.14,284,97.06,0.134533396494552,0.341760563380282
"15",2111,0.15,281,98.17,0.133112269066793,0.349359430604982
"16",2111,0.16,277,99.06,0.131217432496447,0.357617328519856
"17",2111,0.17,274,100.06,0.129796305068688,0.365182481751825
"18",2111,0.18,272,101.21,0.128848886783515,0.372095588235294
"19",2111,0.19,272,102.73,0.128848886783515,0.377683823529412
"20",2111,0.2,271,104.09,0.128375177640928,0.38409594095941
"21",2111,0.21,268,105.04,0.126954050213169,0.391940298507463
"22",2111,0.22,265,105.95,0.12553292278541,0.399811320754717
"23",2111,0.23,264,107.29,0.125059213642823,0.406401515151515
"24",2111,0.24,264,108.86,0.125059213642823,0.412348484848485
"25",2111,0.25,261,109.68,0.123638086215064,0.420229885057471
"26",2111,0.26,256,109.92,0.121269540502132,0.429375
"27",2111,0.27,254,110.98,0.120322122216959,0.436929133858268
"28",2111,0.28,254,112.59,0.120322122216959,0.443267716535433
"29",2111,0.29,253,113.92,0.119848413074372,0.450276679841897
"30",2111,0.3,251,114.94,0.118900994789199,0.45792828685259
"31",2111,0.32,250,117.88,0.118427285646613,0.47152
"32",2111,0.33,243,117.15,0.115111321648508,0.482098765432099
"33",2111,0.34,238,117.01,0.112742775935576,0.491638655462185
"34",2111,0.35,233,116.78,0.110374230222643,0.501201716738197
"35",2111,0.36,228,116.52,0.108005684509711,0.511052631578947
"36",2111,0.39,225,119.94,0.106584557081952,0.533066666666667
"37",2111,0.4,223,120.68,0.105637138796779,0.541165919282511
"38",2111,0.43,207,118.26,0.0980577925153956,0.571304347826087
"39",2111,0.46,206,121.94,0.0975840833728091,0.591941747572815
"40",2111,0.47,205,122.84,0.0971103742302226,0.599219512195122
"41",2111,0.48,203,123.24,0.0961629559450497,0.607093596059113
"42",2111,0.49,200,123.17,0.0947418285172904,0.61585
"43",2111,0.5,193,121,0.0914258645191852,0.626943005181347
"44",2111,0.51,191,121.34,0.0904784462340123,0.635287958115183
"45",2111,0.52,185,119.54,0.0876361913784936,0.646162162162162
"46",2111,0.54,183,121.09,0.0866887730933207,0.661693989071038
"47",2111,0.55,183,122.4,0.0866887730933207,0.668852459016393
"48",2111,0.56,182,123.15,0.0862150639507342,0.676648351648352
"49",2111,0.57,179,122.72,0.0847939365229749,0.685586592178771
"50",2111,0.59,178,124.68,0.0843202273803884,0.700449438202247
"51",2111,0.6,177,125.36,0.083846518237802,0.708248587570621
"52",2111,0.61,176,126.02,0.0833728090952155,0.716022727272727
"53",2111,0.63,175,127.95,0.0828990999526291,0.731142857142857
"54",2111,0.64,172,127.3,0.0814779725248697,0.740116279069767
"55",2111,0.65,172,128.58,0.0814779725248697,0.747558139534884
"56",2111,0.66,172,129.86,0.0814779725248697,0.755
"57",2111,0.67,171,130.47,0.0810042633822833,0.762982456140351
"58",2111,0.68,171,131.75,0.0810042633822833,0.77046783625731
"59",2111,0.69,168,130.94,0.0795831359545239,0.779404761904762
"60",2111,0.7,167,131.5,0.0791094268119375,0.787425149700599
"61",2111,0.72,167,134.02,0.0791094268119375,0.80251497005988
"62",2111,0.73,164,133.11,0.0776882993841781,0.811646341463415
"63",2111,0.74,153,126.16,0.0724774988157271,0.824575163398693
"64",2111,0.76,145,122.4,0.0686878256750355,0.844137931034483
"65",2111,0.77,141,120.42,0.0667929891046897,0.854042553191489
"66",2111,0.79,140,121.83,0.0663192799621033,0.870214285714286
"67",2111,0.8,140,123.08,0.0663192799621033,0.879142857142857
"68",2111,0.84,82,78.79,0.0388441496920891,0.960853658536585
"69",2111,0.85,81,78.61,0.0383704405495026,0.970493827160494
"70",2111,0.87,80,79.07,0.0378967314069162,0.988375
"71",2111,0.88,78,77.97,0.0369493131217433,0.999615384615385
"72",2111,0.91,76,78.12,0.0360018948365703,1.02789473684211
"73",2111,0.92,74,76.91,0.0350544765513974,1.03932432432432
"74",2111,0.95,73,77.85,0.034580767408811,1.06643835616438
"75",2111,0.96,72,77.51,0.0341070582662245,1.07652777777778
"76",2111,0.98,71,77.76,0.0336333491236381,1.09521126760563
