"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",193,0.01,28,1.69,0.145077720207254,0.0603571428571429
"2",193,0.03,25,2.02,0.129533678756477,0.0808
"3",193,0.04,24,2.18,0.124352331606218,0.0908333333333333
"4",193,0.07,21,2.54,0.10880829015544,0.120952380952381
"5",193,0.08,20,2.63,0.103626943005181,0.1315
"6",193,0.09,20,2.8,0.103626943005181,0.14
"7",193,0.1,19,2.87,0.0984455958549223,0.151052631578947
"8",193,0.11,18,2.92,0.0932642487046632,0.162222222222222
"9",193,0.12,16,2.82,0.0829015544041451,0.17625
"10",193,0.21,10,2.76,0.0518134715025907,0.276
"11",193,0.24,9,2.75,0.0466321243523316,0.305555555555556
"12",193,0.42,8,3.58,0.0414507772020725,0.4475
"13",193,0.48,7,3.46,0.0362694300518135,0.494285714285714
"14",193,0.52,7,3.71,0.0362694300518135,0.53
"15",193,0.56,7,3.99,0.0362694300518135,0.57
"16",193,0.73,6,4.44,0.0310880829015544,0.74
"17",193,0.83,5,4.2,0.0259067357512953,0.84
"18",193,1.24,4,5,0.0207253886010363,1.25
"19",193,1.41,3,4.26,0.0155440414507772,1.42
"20",193,4.8,2,9.62,0.0103626943005181,4.81
"21",193,8.08,1,8.09,0.00518134715025907,8.09
