"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",4537,0.01,1036,317.31,0.228344721181397,0.306283783783784
"2",4537,0.02,952,318.6,0.209830284328852,0.334663865546219
"3",4537,0.03,896,319.58,0.197487326427154,0.356674107142857
"4",4537,0.04,865,321.13,0.190654617588715,0.371248554913295
"5",4537,0.05,820,321.32,0.180736169274851,0.391853658536585
"6",4537,0.06,798,322.35,0.175887150099184,0.403947368421053
"7",4537,0.07,782,323.55,0.1723605906987,0.413746803069054
"8",4537,0.08,759,324.12,0.167291161560503,0.42703557312253
"9",4537,0.09,726,323.36,0.160017632797002,0.445399449035813
"10",4537,0.1,710,323.87,0.156491073396518,0.456154929577465
"11",4537,0.11,704,325.34,0.155168613621336,0.462130681818182
"12",4537,0.12,700,327.1,0.154286973771214,0.467285714285714
"13",4537,0.13,687,327.61,0.15142164425832,0.476870451237263
"14",4537,0.14,684,329.44,0.15076041437073,0.481637426900585
"15",4537,0.15,682,331.4,0.150319594445669,0.485923753665689
"16",4537,0.16,682,333.91,0.150319594445669,0.489604105571848
"17",4537,0.17,667,333.84,0.147013445007714,0.500509745127436
"18",4537,0.18,647,332.56,0.142605245757108,0.514003091190108
"19",4537,0.19,640,333.65,0.141062376019396,0.521328125
"20",4537,0.2,637,335.62,0.140401146131805,0.526875981161695
"21",4537,0.21,623,335.39,0.137315406656381,0.538346709470305
"22",4537,0.22,601,333.16,0.132466387480714,0.554342762063228
"23",4537,0.23,589,332.98,0.12982146793035,0.565331069609508
"24",4537,0.24,576,332.35,0.126956138417456,0.576996527777778
"25",4537,0.25,568,332.81,0.125192858717214,0.585933098591549
"26",4537,0.26,564,334.32,0.124311218867093,0.592765957446809
"27",4537,0.27,560,335.85,0.123429579016972,0.599732142857143
"28",4537,0.28,543,333.66,0.119682609653956,0.614475138121547
"29",4537,0.29,527,331.47,0.116156050253471,0.628975332068311
"30",4537,0.3,521,332.08,0.11483359047829,0.637389635316699
"31",4537,0.31,519,333.87,0.114392770553229,0.643294797687861
"32",4537,0.32,515,335.01,0.113511130703108,0.650504854368932
"33",4537,0.33,502,333.08,0.110645801190214,0.663505976095618
"34",4537,0.34,494,332.72,0.108882521489971,0.673522267206478
"35",4537,0.35,484,331.61,0.106678421864668,0.685144628099174
"36",4537,0.36,473,330.02,0.104253912276835,0.697716701902748
"37",4537,0.37,468,330.49,0.103151862464183,0.706175213675214
"38",4537,0.38,466,332.03,0.102711042539123,0.712510729613734
"39",4537,0.39,465,333.94,0.102490632576592,0.718150537634409
"40",4537,0.4,465,336.28,0.102490632576592,0.723182795698925
"41",4537,0.41,457,335.28,0.10072735287635,0.733654266958424
"42",4537,0.42,457,337.56,0.10072735287635,0.738643326039387
"43",4537,0.43,456,339.41,0.10050694291382,0.744320175438597
"44",4537,0.44,456,341.73,0.10050694291382,0.749407894736842
"45",4537,0.46,453,344.96,0.0998457130262288,0.761501103752759
"46",4537,0.47,451,346.31,0.0994048931011682,0.767871396895787
"47",4537,0.48,451,348.61,0.0994048931011682,0.772971175166297
"48",4537,0.49,444,347.42,0.097862023363456,0.782477477477478
"49",4537,0.5,444,349.67,0.097862023363456,0.787545045045045
"50",4537,0.51,444,351.92,0.097862023363456,0.792612612612613
"51",4537,0.52,443,353.68,0.0976416134009257,0.798374717832957
"52",4537,0.53,443,355.97,0.0976416134009257,0.803544018058691
"53",4537,0.54,443,358.28,0.0976416134009257,0.808758465011287
"54",4537,0.56,439,360.64,0.0967599735508045,0.821503416856492
"55",4537,0.57,436,361.2,0.0960987436632136,0.828440366972477
"56",4537,0.58,435,362.88,0.0958783337006833,0.834206896551724
"57",4537,0.59,434,364.55,0.095657923738153,0.839976958525345
"58",4537,0.6,433,366.3,0.0954375137756227,0.845958429561201
"59",4537,0.61,424,363.08,0.0934538241128499,0.856320754716981
"60",4537,0.62,422,364.09,0.0930130041877893,0.862772511848341
"61",4537,0.63,420,365.07,0.0925721842627287,0.869214285714286
"62",4537,0.64,420,367.35,0.0925721842627287,0.874642857142857
"63",4537,0.65,413,365.02,0.0910293145250165,0.883825665859564
"64",4537,0.66,413,367.27,0.0910293145250165,0.889273607748184
"65",4537,0.67,413,369.52,0.0910293145250165,0.894721549636804
"66",4537,0.68,412,371.09,0.0908089045624862,0.900703883495146
"67",4537,0.69,410,371.95,0.0903680846374256,0.907195121951219
"68",4537,0.71,409,375.72,0.0901476746748953,0.918630806845966
"69",4537,0.72,409,377.98,0.0901476746748953,0.924156479217604
"70",4537,0.73,409,380.26,0.0901476746748953,0.929731051344743
"71",4537,0.74,408,381.79,0.089927264712365,0.935759803921569
"72",4537,0.75,407,383.3,0.0897068547498347,0.941769041769042
"73",4537,0.76,406,384.86,0.0894864447873044,0.947931034482759
"74",4537,0.77,399,381.72,0.0879435750495922,0.956691729323308
"75",4537,0.78,397,382.39,0.0875027551245316,0.963198992443325
"76",4537,0.79,395,383.02,0.087061935199471,0.969670886075949
"77",4537,0.8,394,384.62,0.0868415252369407,0.976192893401015
"78",4537,0.81,365,363.36,0.0804496363235618,0.995506849315068
"79",4537,0.82,354,356.47,0.0780251267357285,1.00697740112994
"80",4537,0.83,353,357.76,0.0778047167731982,1.01348441926346
"81",4537,0.84,352,359.07,0.0775843068106678,1.02008522727273
