"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",4745,0.01,1184,773.25,0.249525816649104,0.65308277027027
"2",4745,0.02,1168,776.29,0.246153846153846,0.664631849315069
"3",4745,0.03,1125,778.03,0.23709167544784,0.691582222222222
"4",4745,0.04,1115,780.71,0.234984193888303,0.700188340807175
"5",4745,0.05,1100,782.92,0.231822971548999,0.711745454545454
"6",4745,0.06,1090,785.23,0.229715489989463,0.720394495412844
"7",4745,0.07,1085,787.82,0.228661749209694,0.726101382488479
"8",4745,0.08,1079,790.29,0.227397260273973,0.732428174235403
"9",4745,0.09,1052,790.58,0.221707060063224,0.751501901140684
"10",4745,0.1,1044,792.44,0.220021074815595,0.75904214559387
"11",4745,0.11,1040,794.63,0.219178082191781,0.764067307692308
"12",4745,0.12,1033,797.08,0.217702845100105,0.77161665053243
"13",4745,0.13,941,787.5,0.198314014752371,0.836875664187035
"14",4745,0.14,940,789.78,0.198103266596417,0.840191489361702
"15",4745,0.15,933,791.09,0.196628029504742,0.847899249732047
"16",4745,0.16,932,793.33,0.196417281348788,0.851212446351931
"17",4745,0.17,926,794.69,0.195152792413066,0.858196544276458
"18",4745,0.18,922,796.33,0.194309799789252,0.863698481561822
"19",4745,0.19,921,798.49,0.194099051633298,0.866981541802389
"20",4745,0.2,920,800.67,0.193888303477345,0.87029347826087
"21",4745,0.21,909,800.7,0.191570073761855,0.880858085808581
"22",4745,0.22,908,802.81,0.191359325605901,0.884151982378855
"23",4745,0.23,906,804.68,0.190937829293994,0.888167770419426
"24",4745,0.24,901,805.86,0.189884088514226,0.894406215316315
"25",4745,0.25,893,806.18,0.188198103266596,0.902777155655095
"26",4745,0.26,891,808,0.187776606954689,0.906846240179573
"27",4745,0.27,888,809.52,0.187144362486828,0.911621621621622
"28",4745,0.28,885,811.04,0.186512118018967,0.916429378531074
"29",4745,0.29,880,811.95,0.185458377239199,0.922670454545454
"30",4745,0.3,878,813.72,0.185036880927292,0.926788154897494
"31",4745,0.31,874,814.83,0.184193888303477,0.932299771167048
"32",4745,0.32,870,815.94,0.183350895679663,0.937862068965517
"33",4745,0.33,863,816.02,0.181875658587987,0.945561993047509
"34",4745,0.34,862,818.11,0.181664910432034,0.949083526682135
"35",4745,0.35,857,818.8,0.180611169652266,0.955425904317386
"36",4745,0.36,856,821.01,0.180400421496312,0.959123831775701
"37",4745,0.37,849,820.93,0.178925184404636,0.966937573616019
"38",4745,0.38,847,822.67,0.178503688092729,0.971275088547816
"39",4745,0.39,845,824.39,0.178082191780822,0.975609467455621
"40",4745,0.4,841,825.36,0.177239199157007,0.981403091557669
"41",4745,0.41,832,824.17,0.175342465753425,0.990588942307692
"42",4745,0.42,828,824.99,0.17449947312961,0.996364734299517
"43",4745,0.43,826,826.72,0.174077976817703,1.00087167070218
"44",4745,0.44,817,825.38,0.17218124341412,1.0102570379437
"45",4745,0.45,810,824.82,0.170706006322445,1.0182962962963
"46",4745,0.46,808,826.49,0.170284510010537,1.02288366336634
"47",4745,0.47,805,827.66,0.169652265542677,1.02814906832298
"48",4745,0.48,802,828.85,0.169020021074816,1.03347880299252
"49",4745,0.49,799,829.99,0.168387776606955,1.0387859824781
"50",4745,0.5,797,831.59,0.167966280295047,1.04340025094103
"51",4745,0.51,793,832.13,0.167123287671233,1.04934426229508
"52",4745,0.52,791,833.71,0.166701791359326,1.05399494310999
"53",4745,0.53,788,834.72,0.166069546891465,1.05928934010152
"54",4745,0.54,787,836.86,0.165858798735511,1.06335451080051
"55",4745,0.55,785,838.44,0.165437302423604,1.06807643312102
"56",4745,0.56,781,838.91,0.164594309799789,1.07414852752881
"57",4745,0.57,771,835.84,0.162486828240253,1.08409857328145
"58",4745,0.58,768,836.72,0.161854583772392,1.08947916666667
"59",4745,0.59,768,839.42,0.161854583772392,1.09299479166667
"60",4745,0.6,766,840.97,0.161433087460485,1.09787206266319
"61",4745,0.61,762,841.28,0.16059009483667,1.10404199475066
"62",4745,0.62,760,842.81,0.160168598524763,1.10896052631579
"63",4745,0.63,753,841.12,0.158693361433087,1.11702523240372
"64",4745,0.64,752,843.26,0.158482613277134,1.12135638297872
"65",4745,0.65,745,841.46,0.157007376185458,1.12947651006711
"66",4745,0.66,742,842.22,0.156375131717597,1.13506738544474
"67",4745,0.67,738,842.27,0.155532139093783,1.14128726287263
"68",4745,0.68,736,843.74,0.155110642781876,1.14638586956522
"69",4745,0.69,732,843.79,0.154267650158061,1.15271857923497
"70",4745,0.7,729,844.48,0.1536354056902,1.15840877914952
"71",4745,0.71,726,845.12,0.153003161222339,1.16407713498623
"72",4745,0.72,726,848.07,0.153003161222339,1.16814049586777
"73",4745,0.73,714,842.16,0.150474183350896,1.17949579831933
"74",4745,0.74,712,843.55,0.150052687038988,1.18476123595506
"75",4745,0.75,710,844.94,0.149631190727081,1.19005633802817
"76",4745,0.76,704,843.31,0.148366701791359,1.19788352272727
"77",4745,0.77,693,837.68,0.146048472075869,1.20877344877345
"78",4745,0.78,693,840.56,0.146048472075869,1.21292929292929
"79",4745,0.79,692,842.66,0.145837723919916,1.21771676300578
"80",4745,0.8,690,844.36,0.145416227608008,1.22371014492754
"81",4745,0.81,657,820.66,0.138461538461538,1.24910197869102
"82",4745,0.82,652,819.56,0.13740779768177,1.25699386503067
"83",4745,0.83,651,821.73,0.137197049525817,1.26225806451613
"84",4745,0.84,649,823.07,0.136775553213909,1.2682126348228
"85",4745,0.85,645,822.67,0.135932560590095,1.27545736434109
"86",4745,0.86,644,824.84,0.135721812434141,1.28080745341615
"87",4745,0.87,643,827,0.135511064278188,1.28615863141524
"88",4745,0.88,643,830.23,0.135511064278188,1.29118195956454
"89",4745,0.89,632,823.69,0.133192834562698,1.30330696202532
"90",4745,0.9,622,817.87,0.131085353003161,1.31490353697749
"91",4745,0.91,621,820.14,0.130874604847208,1.32067632850242
"92",4745,0.92,619,821.5,0.1304531085353,1.32714054927302
"93",4745,0.93,617,822.87,0.130031612223393,1.33366288492707
"94",4745,0.95,609,821.65,0.128345626975764,1.3491789819376
"95",4745,0.96,607,822.93,0.127924130663857,1.35573311367381
"96",4745,0.97,590,809.48,0.124341412012645,1.372
"97",4745,0.98,589,811.55,0.124130663856691,1.37784380305603
"98",4745,0.99,588,813.63,0.123919915700738,1.38372448979592
"99",4745,1,587,815.97,0.123709167544784,1.39006814310051
"100",4745,1.01,560,791.81,0.118018967334036,1.41394642857143
"101",4745,1.02,558,792.86,0.117597471022129,1.42089605734767
"102",4745,1.03,554,791.94,0.116754478398314,1.42949458483755
"103",4745,1.04,537,777.3,0.113171759747102,1.44748603351955
"104",4745,1.05,531,774,0.11190727081138,1.45762711864407
"105",4745,1.06,528,773.8,0.111275026343519,1.4655303030303
"106",4745,1.07,528,776.79,0.111275026343519,1.47119318181818
"107",4745,1.08,527,778.69,0.111064278187566,1.47759013282732
"108",4745,1.09,521,775.08,0.109799789251844,1.48767754318618
"109",4745,1.1,520,776.94,0.10958904109589,1.49411538461538
"110",4745,1.11,520,779.91,0.10958904109589,1.49982692307692
"111",4745,1.12,520,782.89,0.10958904109589,1.50555769230769
"112",4745,1.13,515,780.2,0.108535300316122,1.51495145631068
"113",4745,1.15,511,781.5,0.107692307692308,1.5293542074364
"114",4745,1.16,509,782.12,0.1072708113804,1.5365815324165
"115",4745,1.17,507,782.73,0.106849315068493,1.54384615384615
"116",4745,1.18,506,784.52,0.10663856691254,1.5504347826087
"117",4745,1.19,503,783.89,0.106006322444679,1.55842942345924
"118",4745,1.2,502,785.78,0.105795574288725,1.56529880478088
"119",4745,1.21,490,774.24,0.103266596417281,1.58008163265306
"120",4745,1.22,486,772.3,0.102423603793467,1.58909465020576
"121",4745,1.23,484,772.78,0.10200210748156,1.59665289256198
"122",4745,1.24,484,775.74,0.10200210748156,1.60276859504132
"123",4745,1.25,477,769.89,0.100526870389884,1.6140251572327
"124",4745,1.26,477,772.8,0.100526870389884,1.62012578616352
"125",4745,1.27,474,771.89,0.0998946259220232,1.62845991561181
"126",4745,1.28,471,770.94,0.0992623814541623,1.6368152866242
"127",4745,1.29,469,771.25,0.098840885142255,1.64445628997868
"128",4745,1.3,464,767.6,0.0977871443624868,1.65431034482759
"129",4745,1.31,463,769.13,0.0975763962065332,1.6611879049676
"130",4745,1.32,462,770.68,0.0973656480505796,1.66813852813853
"131",4745,1.33,456,765.52,0.0961011591148577,1.67877192982456
"132",4745,1.34,454,765.64,0.0956796628029505,1.68643171806167
"133",4745,1.35,452,765.72,0.0952581664910432,1.69407079646018
"134",4745,1.36,450,765.83,0.0948366701791359,1.70184444444444
"135",4745,1.37,441,756.26,0.0929399367755532,1.71487528344671
"136",4745,1.39,441,761.79,0.0929399367755532,1.72741496598639
"137",4745,1.4,441,764.59,0.0929399367755532,1.7337641723356
"138",4745,1.41,437,761.71,0.0920969441517387,1.74304347826087
"139",4745,1.42,436,763.05,0.091886195995785,1.75011467889908
"140",4745,1.43,436,765.9,0.091886195995785,1.75665137614679
"141",4745,1.44,429,758.73,0.0904109589041096,1.7686013986014
"142",4745,1.45,402,722.23,0.0847207586933614,1.796592039801
"143",4745,1.46,401,723.42,0.0845100105374078,1.80403990024938
"144",4745,1.47,397,720.16,0.0836670179135933,1.81400503778338
"145",4745,1.48,397,722.79,0.0836670179135933,1.82062972292191
"146",4745,1.5,397,728.06,0.0836670179135933,1.83390428211587
"147",4745,1.51,395,727.67,0.083245521601686,1.84220253164557
"148",4745,1.52,393,727.25,0.0828240252897787,1.85050890585242
"149",4745,1.53,389,723.72,0.0819810326659642,1.86046272493573
"150",4745,1.54,389,726.32,0.0819810326659642,1.86714652956298
"151",4745,1.56,388,729.97,0.0817702845100105,1.88136597938144
"152",4745,1.57,386,729.44,0.0813487881981033,1.88974093264249
"153",4745,1.59,383,729.86,0.0807165437302424,1.90563968668407
"154",4745,1.6,381,729.25,0.0802950474183351,1.91404199475066
"155",4745,1.61,375,722.13,0.0790305584826133,1.92568
"156",4745,1.62,373,721.44,0.078609062170706,1.93415549597855
"157",4745,1.63,373,723.99,0.078609062170706,1.94099195710456
"158",4745,1.64,372,724.91,0.0783983140147524,1.94868279569892
"159",4745,1.66,369,725.04,0.0777660695468915,1.96487804878049
"160",4745,1.69,368,731,0.0775553213909378,1.98641304347826
"161",4745,1.7,368,733.6,0.0775553213909378,1.99347826086956
"162",4745,1.72,350,707.67,0.0737618545837724,2.02191428571429
"163",4745,1.73,349,708.36,0.0735511064278188,2.02968481375358
"164",4745,1.74,347,707.29,0.0731296101159115,2.03829971181556
"165",4745,1.75,346,707.94,0.0729188619599579,2.04606936416185
"166",4745,1.76,345,708.61,0.0727081138040042,2.05394202898551
"167",4745,1.77,340,702.14,0.071654373024236,2.06511764705882
"168",4745,1.78,337,699.15,0.0710221285563751,2.07462908011869
"169",4745,1.79,335,697.91,0.0706006322444679,2.08331343283582
"170",4745,1.8,334,698.46,0.0703898840885142,2.09119760479042
"171",4745,1.81,332,697.17,0.069968387776607,2.09990963855422
"172",4745,1.83,331,699.99,0.0697576396206533,2.11477341389728
"173",4745,1.84,329,698.62,0.069336143308746,2.12346504559271
"174",4745,1.85,327,697.21,0.0689146469968388,2.13214067278287
"175",4745,1.86,326,697.72,0.0687038988408851,2.14024539877301
"176",4745,1.87,265,585.43,0.0558482613277134,2.20916981132075
"177",4745,1.89,265,589.03,0.0558482613277134,2.22275471698113
"178",4745,1.9,265,590.85,0.0558482613277134,2.22962264150943
"179",4745,1.91,264,590.76,0.0556375131717597,2.23772727272727
"180",4745,1.92,261,586.8,0.0550052687038988,2.24827586206897
"181",4745,1.96,259,590.06,0.0545837723919916,2.27822393822394
"182",4745,1.97,257,587.89,0.0541622760800843,2.28750972762646
"183",4745,2,257,593.29,0.0541622760800843,2.30852140077821
"184",4745,2.01,248,577,0.0522655426765016,2.32661290322581
"185",4745,2.02,248,578.81,0.0522655426765016,2.33391129032258
"186",4745,2.03,245,574.51,0.0516332982086407,2.3449387755102
"187",4745,2.04,243,572.24,0.0512118018967334,2.35489711934156
"188",4745,2.07,237,565.19,0.0499473129610116,2.38476793248945
"189",4745,2.08,236,564.85,0.049736564805058,2.39343220338983
"190",4745,2.11,235,567.95,0.0495258166491043,2.4168085106383
"191",4745,2.12,234,567.57,0.0493150684931507,2.42551282051282
"192",4745,2.16,232,570.2,0.0488935721812434,2.45775862068965
"193",4745,2.17,228,563.22,0.0480505795574289,2.47026315789474
"194",4745,2.2,227,566.16,0.0478398314014752,2.49409691629956
"195",4745,2.21,223,559.02,0.0469968387776607,2.50681614349776
"196",4745,2.23,222,560.18,0.0467860906217071,2.52333333333333
"197",4745,2.24,221,559.62,0.0465753424657534,2.53221719457014
"198",4745,2.25,217,552.26,0.0457323498419389,2.54497695852535
"199",4745,2.26,216,551.63,0.0455216016859852,2.55384259259259
"200",4745,2.27,215,550.99,0.0453108535300316,2.56274418604651
"201",4745,2.28,213,548.04,0.0448893572181243,2.57295774647887
"202",4745,2.29,211,545.05,0.0444678609062171,2.58317535545024
"203",4745,2.3,210,544.33,0.0442571127502634,2.59204761904762
"204",4745,2.31,209,543.6,0.0440463645943098,2.60095693779904
"205",4745,2.32,209,545.19,0.0440463645943098,2.60856459330143
"206",4745,2.33,203,532.74,0.042781875658588,2.62433497536946
"207",4745,2.37,202,536.48,0.0425711275026344,2.65584158415842
"208",4745,2.38,201,535.61,0.0423603793466807,2.6647263681592
"209",4745,2.4,200,536.33,0.0421496311907271,2.68165
"210",4745,2.41,177,482.28,0.0373024236037935,2.72474576271186
"211",4745,2.42,175,478.8,0.0368809272918862,2.736
"212",4745,2.44,173,476.63,0.0364594309799789,2.75508670520231
"213",4745,2.46,170,471.92,0.035827186512118,2.776
"214",4745,2.47,168,468.3,0.0354056902002107,2.7875
"215",4745,2.49,164,460.95,0.0345626975763962,2.81067073170732
"216",4745,2.52,164,464.83,0.0345626975763962,2.83432926829268
"217",4745,2.53,161,458.52,0.0339304531085353,2.84795031055901
"218",4745,2.54,161,459.8,0.0339304531085353,2.85590062111801
"219",4745,2.59,160,463.61,0.0337197049525817,2.8975625
"220",4745,2.6,160,464.9,0.0337197049525817,2.905625
"221",4745,2.65,154,455.39,0.0324552160168599,2.95707792207792
"222",4745,2.66,153,453.96,0.0322444678609062,2.96705882352941
"223",4745,2.67,150,447.15,0.0316122233930453,2.981
"224",4745,2.69,147,441.45,0.0309799789251844,3.0030612244898
"225",4745,2.71,146,441.07,0.0307692307692308,3.02102739726027
"226",4745,2.74,145,441.8,0.0305584826132771,3.04689655172414
"227",4745,2.75,144,440.2,0.0303477344573235,3.05694444444444
"228",4745,2.76,144,441.35,0.0303477344573235,3.06493055555556
"229",4745,2.77,142,436.94,0.0299262381454162,3.07704225352113
"230",4745,2.79,141,436.41,0.0297154899894626,3.09510638297872
"231",4745,2.8,141,437.59,0.0297154899894626,3.10347517730496
"232",4745,2.85,129,409.17,0.027186512118019,3.17186046511628
"233",4745,2.88,128,409.46,0.0269757639620653,3.19890625
"234",4745,2.89,127,407.62,0.0267650158061117,3.2096062992126
"235",4745,2.94,127,412.87,0.0267650158061117,3.25094488188976
"236",4745,3,126,416.16,0.0265542676501581,3.30285714285714
"237",4745,3.01,124,411.16,0.0261327713382508,3.3158064516129
"238",4745,3.04,123,411.17,0.0259220231822972,3.34284552845528
"239",4745,3.09,117,397.62,0.0246575342465753,3.39846153846154
"240",4745,3.12,116,397.35,0.0244467860906217,3.42543103448276
"241",4745,3.16,115,397.98,0.0242360379346681,3.46069565217391
"242",4745,3.17,114,395.75,0.0240252897787144,3.47149122807018
"243",4745,3.2,112,392.16,0.0236037934668072,3.50142857142857
"244",4745,3.22,110,387.56,0.0231822971548999,3.52327272727273
"245",4745,3.24,109,386.13,0.0229715489989463,3.54247706422018
"246",4745,3.27,108,385.55,0.0227608008429926,3.56990740740741
"247",4745,3.29,107,384.03,0.022550052687039,3.58906542056075
"248",4745,3.3,106,381.6,0.0223393045310854,3.6
"249",4745,3.32,105,380.01,0.0221285563751317,3.61914285714286
"250",4745,3.33,101,367.51,0.0212855637513172,3.63871287128713
"251",4745,3.4,100,369.84,0.0210748155953635,3.6984
"252",4745,3.45,99,370.43,0.0208640674394099,3.74171717171717
"253",4745,3.46,97,364.3,0.0204425711275026,3.75567010309278
"254",4745,3.51,97,368.26,0.0204425711275026,3.79649484536082
"255",4745,3.53,97,369.86,0.0204425711275026,3.81298969072165
"256",4745,3.55,96,367.9,0.020231822971549,3.83229166666667
"257",4745,3.6,95,368.25,0.0200210748155954,3.87631578947368
"258",4745,3.61,92,358.18,0.0193888303477345,3.89326086956522
"259",4745,3.62,91,355.31,0.0191780821917808,3.90450549450549
"260",4745,3.68,90,356.13,0.0189673340358272,3.957
"261",4745,3.72,90,359.13,0.0189673340358272,3.99033333333333
"262",4745,3.73,89,356.14,0.0187565858798736,4.00157303370787
"263",4745,3.77,88,355.32,0.0185458377239199,4.03772727272727
"264",4745,3.79,87,352.99,0.0183350895679663,4.05735632183908
"265",4745,3.8,87,353.73,0.0183350895679663,4.06586206896552
"266",4745,3.96,84,353.67,0.0177028451001054,4.21035714285714
"267",4745,4,84,356.56,0.0177028451001054,4.2447619047619
"268",4745,4.04,76,327.08,0.0160168598524763,4.30368421052632
"269",4745,4.17,75,331.35,0.0158061116965227,4.418
"270",4745,4.2,74,329.08,0.015595363540569,4.44702702702703
"271",4745,4.22,74,330.38,0.015595363540569,4.46459459459459
"272",4745,4.24,73,327.43,0.0153846153846154,4.48534246575342
"273",4745,4.34,72,329.48,0.0151738672286617,4.57611111111111
"274",4745,4.41,70,325.05,0.0147523709167545,4.64357142857143
"275",4745,4.42,69,321.24,0.0145416227608008,4.65565217391304
"276",4745,4.45,69,323.07,0.0145416227608008,4.68217391304348
"277",4745,4.47,68,319.81,0.0143308746048472,4.70308823529412
"278",4745,4.56,67,320.64,0.0141201264488936,4.78567164179104
"279",4745,4.6,66,318.39,0.0139093782929399,4.82409090909091
"280",4745,4.69,65,318.92,0.0136986301369863,4.90646153846154
"281",4745,4.74,65,321.82,0.0136986301369863,4.95107692307692
"282",4745,4.76,64,318.21,0.0134878819810327,4.97203125
"283",4745,4.8,63,315.68,0.013277133825079,5.01079365079365
"284",4745,4.94,59,303.72,0.0124341412012645,5.14779661016949
"285",4745,5,58,301.83,0.0122233930453109,5.20396551724138
"286",4745,5.05,57,299.32,0.0120126448893572,5.25122807017544
"287",4745,5.12,56,297.69,0.0118018967334036,5.31589285714286
"288",4745,5.13,55,293.04,0.0115911485774499,5.328
"289",4745,5.2,54,291.19,0.0113804004214963,5.39240740740741
"290",4745,5.32,52,286.18,0.010958904109589,5.50346153846154
"291",4745,5.36,48,266.54,0.0101159114857745,5.55291666666667
"292",4745,5.44,47,264.45,0.00990516332982086,5.62659574468085
"293",4745,5.6,46,265.41,0.00969441517386723,5.76978260869565
"294",4745,5.64,42,244.45,0.00885142255005269,5.82023809523809
"295",4745,5.7,41,240.97,0.00864067439409905,5.87731707317073
"296",4745,5.72,41,241.71,0.00864067439409905,5.89536585365854
"297",4745,5.94,40,243.91,0.00842992623814542,6.09775
"298",4745,6.08,40,249.09,0.00842992623814542,6.22725
