Date	impressions	served	komoona_served
2015-07-09	26255	21428	15896
2015-07-10	29562	24029	17839
2015-07-11	28460	23232	16890
2015-07-12	27421	21857	16754
2015-07-13	26408	19491	16404
2015-07-14	24759	18387	15958
2015-07-15	23458	16623	14629
2015-07-16	23088	16712	14781
2015-07-17	24347	17047	15886
2015-07-18	23377	16797	14739
2015-07-19	23314	17066	14783
2015-07-20	24181	16329	16075
2015-07-21	23364	15898	15425
2015-07-22	22252	16419	13885
2015-07-23	21155	14854	13243
2015-07-24	20165	17353	10706
2015-07-25	22366	17280	12885
2015-07-26	21614	14192	14493
2015-07-27	21325	12637	15157
2015-07-28	20905	15210	13316
2015-07-29	20410	13773	13226
2015-07-30	21468	14865	13589
2015-07-31	21960	14596	13969
2015-08-01	23825	13998	16293
2015-08-02	22401	13708	4915
2015-08-03	21856	13761	12442
2015-08-04	22090	13650	14119
2015-08-05	22647	14630	14822
2015-08-06	23164	15119	14913
2015-08-07	24475	18267	17023
2015-08-08	25543	19742	16665
2015-08-09	24688	18063	16612
2015-08-10	21913	16422	14960
2015-08-11	23026	17057	15048
2015-08-12	21470	15796	13460
2015-08-13	19727	14218	11990
2015-08-14	23211	16072	15313
2015-08-15	23924	14079	16848
2015-08-16	24702	15443	17329
2015-08-17	23508	13988	16427
2015-08-18	23111	16168	16380
2015-08-19	22650	16121	15444
2015-08-20	23049	15278	16133
2015-08-21	22821	12987	16336
2015-08-22	40186	29058	27722
2015-08-23	27611	18024	18681
2015-08-24	53444	43739	37487
2015-08-25	57314	46481	39513
2015-08-26	29367	10325	17658
2015-08-27	24020	16425	14895
2015-08-28	27061	20764	16891
2015-08-29	25643	20258	15857
2015-08-30	23723	18686	13940
2015-08-31	26661	20007	15306
2015-09-01	36867	28071	23407
2015-09-02	26134	19320	14733
2015-09-03	23058	6782	12209
2015-09-04	25523	19686	13595
2015-09-05	29978	23160	15970
2015-09-06	22549	16599	12257
2015-09-07	20767	16532	12702
2015-09-08	38043	30242	23347
2015-09-09	26523	20341	16889
2015-09-10	25267	18886	15254
2015-09-11	27225	21378	16552
2015-09-12	31320	24689	18797
2015-09-13	27586	21641	16097
2015-09-14	23235	17832	14325
2015-09-15	25027	19538	15200
2015-09-16	15028	11937	8760
2015-09-17	23829	18958	14540
2015-09-18	25973	20956	16689
2015-09-19	27622	21798	17644
2015-09-20	28516	22488	18194
2015-09-21	25681	20735	15989
2015-09-22	25143	19707	15644
2015-09-23	24475	18454	16149
2015-09-24	22427	16587	15107
2015-09-25	24322	16979	16593
2015-09-26	27938	21670	19052
2015-09-27	26454	20557	17922
2015-09-28	21148	14476	14248
2015-09-29	5600	3754	3460
2015-09-30	13593	11664	9144
2015-10-01	24237	18915	15741
2015-10-02	27318	22382	16764
2015-10-03	29957	23074	19804
2015-10-04	27000	20366	18102
2015-10-05	22838	16493	15642
2015-10-06	21367	15462	14343
2015-10-07	20223	14970	13163
2015-10-08	21844	16470	14527
2015-10-09	22870	17659	14723
2015-10-10	26394	19633	17694
2015-10-11	25162	18575	17130
2015-10-12	19134	13783	13359
