placement_id,rs_date,rs_served,rs_imps_no_h,rs_imps_with_h,placement_id_1,date,impressions,served
00e4e0887f8ab768288978079195c09e,2016-02-10 00:00:00.0,36873,82541,84300,,,,
00e4e0887f8ab768288978079195c09e,2016-02-11 00:00:00.0,35870,75932,77466,00e4e0887f8ab768288978079195c09e,2016-02-11 00:00:00.0,86100,37830
00e4e0887f8ab768288978079195c09e,2016-02-12 00:00:00.0,28825,62462,63743,00e4e0887f8ab768288978079195c09e,2016-02-12 00:00:00.0,81362,34986
00e4e0887f8ab768288978079195c09e,2016-02-13 00:00:00.0,22572,57026,58413,00e4e0887f8ab768288978079195c09e,2016-02-13 00:00:00.0,59849,21782
00e4e0887f8ab768288978079195c09e,2016-02-14 00:00:00.0,28157,51705,53212,00e4e0887f8ab768288978079195c09e,2016-02-14 00:00:00.0,54340,17928
00e4e0887f8ab768288978079195c09e,2016-02-15 00:00:00.0,43300,73411,75013,00e4e0887f8ab768288978079195c09e,2016-02-15 00:00:00.0,78663,34492
00e4e0887f8ab768288978079195c09e,2016-02-16 00:00:00.0,44609,75512,77259,00e4e0887f8ab768288978079195c09e,2016-02-16 00:00:00.0,78817,35869
00e4e0887f8ab768288978079195c09e,2016-02-17 00:00:00.0,34609,71695,73816,00e4e0887f8ab768288978079195c09e,2016-02-17 00:00:00.0,75461,34270
00e4e0887f8ab768288978079195c09e,2016-02-18 00:00:00.0,38118,70882,72463,00e4e0887f8ab768288978079195c09e,2016-02-18 00:00:00.0,74857,36382
00e4e0887f8ab768288978079195c09e,2016-02-19 00:00:00.0,30397,55375,56656,00e4e0887f8ab768288978079195c09e,2016-02-19 00:00:00.0,67205,35058
00e4e0887f8ab768288978079195c09e,2016-02-20 00:00:00.0,21878,44242,45348,00e4e0887f8ab768288978079195c09e,2016-02-20 00:00:00.0,47677,22421
00e4e0887f8ab768288978079195c09e,2016-02-21 00:00:00.0,21282,43452,44468,00e4e0887f8ab768288978079195c09e,2016-02-21 00:00:00.0,45834,20994
00e4e0887f8ab768288978079195c09e,2016-02-22 00:00:00.0,42682,74138,75467,00e4e0887f8ab768288978079195c09e,2016-02-22 00:00:00.0,84096,38461
00e4e0887f8ab768288978079195c09e,2016-02-23 00:00:00.0,43520,75216,76845,00e4e0887f8ab768288978079195c09e,2016-02-23 00:00:00.0,80997,39336
00e4e0887f8ab768288978079195c09e,2016-02-24 00:00:00.0,47255,83708,85161,00e4e0887f8ab768288978079195c09e,2016-02-24 00:00:00.0,86678,42589
00e4e0887f8ab768288978079195c09e,2016-02-25 00:00:00.0,48520,86215,87724,00e4e0887f8ab768288978079195c09e,2016-02-25 00:00:00.0,89230,43069
00e4e0887f8ab768288978079195c09e,2016-02-26 00:00:00.0,48023,84449,85859,00e4e0887f8ab768288978079195c09e,2016-02-26 00:00:00.0,87935,42864
00e4e0887f8ab768288978079195c09e,2016-02-27 00:00:00.0,32037,62209,63211,00e4e0887f8ab768288978079195c09e,2016-02-27 00:00:00.0,65211,29486
00e4e0887f8ab768288978079195c09e,2016-02-28 00:00:00.0,32840,64625,65699,00e4e0887f8ab768288978079195c09e,2016-02-28 00:00:00.0,67185,28574
00e4e0887f8ab768288978079195c09e,2016-02-29 00:00:00.0,47572,84373,85873,00e4e0887f8ab768288978079195c09e,2016-02-29 00:00:00.0,96480,42302
00e4e0887f8ab768288978079195c09e,2016-03-01 00:00:00.0,48729,94992,98248,00e4e0887f8ab768288978079195c09e,2016-03-01 00:00:00.0,107847,43644
00e4e0887f8ab768288978079195c09e,2016-03-02 00:00:00.0,35497,66933,68265,00e4e0887f8ab768288978079195c09e,2016-03-02 00:00:00.0,95716,47167
00e4e0887f8ab768288978079195c09e,2016-03-03 00:00:00.0,1797,3473,3517,,,,
023e3f16c34df641cc4d569f6f73ad43,2016-02-10 00:00:00.0,691,1177,2069,,,,
023e3f16c34df641cc4d569f6f73ad43,2016-02-11 00:00:00.0,1986,3425,7505,023e3f16c34df641cc4d569f6f73ad43,2016-02-11 00:00:00.0,8155,1096
023e3f16c34df641cc4d569f6f73ad43,2016-02-12 00:00:00.0,1748,2921,5767,023e3f16c34df641cc4d569f6f73ad43,2016-02-12 00:00:00.0,7623,1534
023e3f16c34df641cc4d569f6f73ad43,2016-02-13 00:00:00.0,2084,3217,7175,023e3f16c34df641cc4d569f6f73ad43,2016-02-13 00:00:00.0,7348,1307
023e3f16c34df641cc4d569f6f73ad43,2016-02-14 00:00:00.0,1459,2457,6882,023e3f16c34df641cc4d569f6f73ad43,2016-02-14 00:00:00.0,7013,917
023e3f16c34df641cc4d569f6f73ad43,2016-02-15 00:00:00.0,1706,2672,6476,023e3f16c34df641cc4d569f6f73ad43,2016-02-15 00:00:00.0,6571,1210
