tagid,single_chain,single_weight,chains_clean,weights_clean,ordinal_in_tag,tagid_1,sum_weight
0e42430f825c80036fd1b0a06f6425b9,"""p6"",""t30"",""p20""", 118,"""p6"",""t30"",""p20""],[""t13"",""t24"",""p9""],[""t34"",""t1"",""p17"",""t38""],[""t21"",""t10"",""t33"",""p14""],[""t22"",""t23"",""t26""],[""t27"",""p21"",""t2""],[""p15"",""t18"",""p12"",""t8""],[""p2""],[""t4""],[""j1""],[""p7""],[""t16""],[""j7""],[""p4"",""p13""],[""t6"",""t12""],[""j4"",""j5""],[""p8""],[""t20""],[""j2""],[""p1"",""p10""],[""t37"",""t11""],[""j6"",""j3""],[""p18""],[""t5""],[""j8""","118,15,10,15,12,7,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",1,0e42430f825c80036fd1b0a06f6425b9,277
0e42430f825c80036fd1b0a06f6425b9,"""t13"",""t24"",""p9""", 15,"""p6"",""t30"",""p20""],[""t13"",""t24"",""p9""],[""t34"",""t1"",""p17"",""t38""],[""t21"",""t10"",""t33"",""p14""],[""t22"",""t23"",""t26""],[""t27"",""p21"",""t2""],[""p15"",""t18"",""p12"",""t8""],[""p2""],[""t4""],[""j1""],[""p7""],[""t16""],[""j7""],[""p4"",""p13""],[""t6"",""t12""],[""j4"",""j5""],[""p8""],[""t20""],[""j2""],[""p1"",""p10""],[""t37"",""t11""],[""j6"",""j3""],[""p18""],[""t5""],[""j8""","118,15,10,15,12,7,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",2,0e42430f825c80036fd1b0a06f6425b9,277
0e42430f825c80036fd1b0a06f6425b9,"""t34"",""t1"",""p17"",""t38""", 10,"""p6"",""t30"",""p20""],[""t13"",""t24"",""p9""],[""t34"",""t1"",""p17"",""t38""],[""t21"",""t10"",""t33"",""p14""],[""t22"",""t23"",""t26""],[""t27"",""p21"",""t2""],[""p15"",""t18"",""p12"",""t8""],[""p2""],[""t4""],[""j1""],[""p7""],[""t16""],[""j7""],[""p4"",""p13""],[""t6"",""t12""],[""j4"",""j5""],[""p8""],[""t20""],[""j2""],[""p1"",""p10""],[""t37"",""t11""],[""j6"",""j3""],[""p18""],[""t5""],[""j8""","118,15,10,15,12,7,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",3,0e42430f825c80036fd1b0a06f6425b9,277
0e42430f825c80036fd1b0a06f6425b9,"""t21"",""t10"",""t33"",""p14""", 15,"""p6"",""t30"",""p20""],[""t13"",""t24"",""p9""],[""t34"",""t1"",""p17"",""t38""],[""t21"",""t10"",""t33"",""p14""],[""t22"",""t23"",""t26""],[""t27"",""p21"",""t2""],[""p15"",""t18"",""p12"",""t8""],[""p2""],[""t4""],[""j1""],[""p7""],[""t16""],[""j7""],[""p4"",""p13""],[""t6"",""t12""],[""j4"",""j5""],[""p8""],[""t20""],[""j2""],[""p1"",""p10""],[""t37"",""t11""],[""j6"",""j3""],[""p18""],[""t5""],[""j8""","118,15,10,15,12,7,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",4,0e42430f825c80036fd1b0a06f6425b9,277
0e42430f825c80036fd1b0a06f6425b9,"""t22"",""t23"",""t26""", 12,"""p6"",""t30"",""p20""],[""t13"",""t24"",""p9""],[""t34"",""t1"",""p17"",""t38""],[""t21"",""t10"",""t33"",""p14""],[""t22"",""t23"",""t26""],[""t27"",""p21"",""t2""],[""p15"",""t18"",""p12"",""t8""],[""p2""],[""t4""],[""j1""],[""p7""],[""t16""],[""j7""],[""p4"",""p13""],[""t6"",""t12""],[""j4"",""j5""],[""p8""],[""t20""],[""j2""],[""p1"",""p10""],[""t37"",""t11""],[""j6"",""j3""],[""p18""],[""t5""],[""j8""","118,15,10,15,12,7,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",5,0e42430f825c80036fd1b0a06f6425b9,277
0e42430f825c80036fd1b0a06f6425b9,"""t27"",""p21"",""t2""", 7,"""p6"",""t30"",""p20""],[""t13"",""t24"",""p9""],[""t34"",""t1"",""p17"",""t38""],[""t21"",""t10"",""t33"",""p14""],[""t22"",""t23"",""t26""],[""t27"",""p21"",""t2""],[""p15"",""t18"",""p12"",""t8""],[""p2""],[""t4""],[""j1""],[""p7""],[""t16""],[""j7""],[""p4"",""p13""],[""t6"",""t12""],[""j4"",""j5""],[""p8""],[""t20""],[""j2""],[""p1"",""p10""],[""t37"",""t11""],[""j6"",""j3""],[""p18""],[""t5""],[""j8""","118,15,10,15,12,7,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",6,0e42430f825c80036fd1b0a06f6425b9,277
0e42430f825c80036fd1b0a06f6425b9,"""p15"",""t18"",""p12"",""t8""", 10,"""p6"",""t30"",""p20""],[""t13"",""t24"",""p9""],[""t34"",""t1"",""p17"",""t38""],[""t21"",""t10"",""t33"",""p14""],[""t22"",""t23"",""t26""],[""t27"",""p21"",""t2""],[""p15"",""t18"",""p12"",""t8""],[""p2""],[""t4""],[""j1""],[""p7""],[""t16""],[""j7""],[""p4"",""p13""],[""t6"",""t12""],[""j4"",""j5""],[""p8""],[""t20""],[""j2""],[""p1"",""p10""],[""t37"",""t11""],[""j6"",""j3""],[""p18""],[""t5""],[""j8""","118,15,10,15,12,7,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",7,0e42430f825c80036fd1b0a06f6425b9,277
0e42430f825c80036fd1b0a06f6425b9,"""p2""", 5,"""p6"",""t30"",""p20""],[""t13"",""t24"",""p9""],[""t34"",""t1"",""p17"",""t38""],[""t21"",""t10"",""t33"",""p14""],[""t22"",""t23"",""t26""],[""t27"",""p21"",""t2""],[""p15"",""t18"",""p12"",""t8""],[""p2""],[""t4""],[""j1""],[""p7""],[""t16""],[""j7""],[""p4"",""p13""],[""t6"",""t12""],[""j4"",""j5""],[""p8""],[""t20""],[""j2""],[""p1"",""p10""],[""t37"",""t11""],[""j6"",""j3""],[""p18""],[""t5""],[""j8""","118,15,10,15,12,7,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",8,0e42430f825c80036fd1b0a06f6425b9,277
0e42430f825c80036fd1b0a06f6425b9,"""t4""", 5,"""p6"",""t30"",""p20""],[""t13"",""t24"",""p9""],[""t34"",""t1"",""p17"",""t38""],[""t21"",""t10"",""t33"",""p14""],[""t22"",""t23"",""t26""],[""t27"",""p21"",""t2""],[""p15"",""t18"",""p12"",""t8""],[""p2""],[""t4""],[""j1""],[""p7""],[""t16""],[""j7""],[""p4"",""p13""],[""t6"",""t12""],[""j4"",""j5""],[""p8""],[""t20""],[""j2""],[""p1"",""p10""],[""t37"",""t11""],[""j6"",""j3""],[""p18""],[""t5""],[""j8""","118,15,10,15,12,7,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",9,0e42430f825c80036fd1b0a06f6425b9,277
0e42430f825c80036fd1b0a06f6425b9,"""j1""", 5,"""p6"",""t30"",""p20""],[""t13"",""t24"",""p9""],[""t34"",""t1"",""p17"",""t38""],[""t21"",""t10"",""t33"",""p14""],[""t22"",""t23"",""t26""],[""t27"",""p21"",""t2""],[""p15"",""t18"",""p12"",""t8""],[""p2""],[""t4""],[""j1""],[""p7""],[""t16""],[""j7""],[""p4"",""p13""],[""t6"",""t12""],[""j4"",""j5""],[""p8""],[""t20""],[""j2""],[""p1"",""p10""],[""t37"",""t11""],[""j6"",""j3""],[""p18""],[""t5""],[""j8""","118,15,10,15,12,7,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",10,0e42430f825c80036fd1b0a06f6425b9,277
